"Table 17. Tobacco Product Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2018 and 2019 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or snus), cigars, or pipe tobacco.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given. ",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"58,423","57,422","59,439","1,000",932,"1,071","8,498","8,281","8,718","48,926","47,972","49,896","57,424","56,429","58,432"
2,Northeast,"9,213","8,862","9,576",143,127,161,"1,426","1,358","1,497","7,644","7,308","7,991","9,070","8,721","9,431"
3,Midwest,"13,670","13,280","14,066",237,216,261,"2,009","1,934","2,087","11,423","11,053","11,800","13,432","13,046","13,825"
4,South,"24,342","23,743","24,955",428,391,468,"3,406","3,295","3,520","20,508","19,930","21,099","23,914","23,319","24,522"
5,West,"11,198","10,765","11,644",191,168,218,"1,655","1,571","1,743","9,352","8,938","9,781","11,007","10,577","11,450"
6,Alabama,"1,186","1,086","1,291",20,15,26,155,137,174,"1,012",917,"1,111","1,166","1,067","1,270"
7,Alaska,135,123,149,4,3,5,18,16,21,113,102,126,132,119,145
8,Arizona,"1,138","1,010","1,278",16,12,23,164,140,192,958,839,"1,088","1,122",995,"1,261"
9,Arkansas,729,669,791,13,10,17,96,84,109,619,564,678,716,656,778
10,California,"4,669","4,355","5,000",77,62,97,711,647,781,"3,880","3,582","4,198","4,591","4,280","4,921"
11,Colorado,992,895,"1,097",18,13,25,155,135,176,819,729,917,974,878,"1,077"
12,Connecticut,574,508,646,8,6,11,92,79,107,474,413,541,566,500,638
13,Delaware,186,168,205,3,2,4,24,21,27,159,142,177,183,165,202
14,District of Columbia,115,103,128,1,1,2,19,16,22,95,84,108,114,101,127
15,Florida,"3,568","3,339","3,809",48,38,60,399,363,438,"3,120","2,898","3,354","3,519","3,292","3,759"
16,Georgia,"1,862","1,717","2,015",32,24,41,243,213,277,"1,587","1,453","1,730","1,830","1,687","1,982"
17,Hawaii,200,178,224,2,1,3,23,19,27,175,154,198,198,176,222
18,Idaho,287,258,318,6,4,8,43,37,50,238,211,267,281,252,312
19,Illinois,"2,150","2,000","2,308",34,27,43,285,255,317,"1,831","1,689","1,981","2,116","1,967","2,273"
20,Indiana,"1,575","1,443","1,713",27,20,35,244,216,274,"1,304","1,182","1,433","1,548","1,417","1,685"
21,Iowa,662,601,727,12,9,16,96,83,110,554,498,614,650,590,714
22,Kansas,585,528,646,8,6,11,82,71,94,495,441,552,577,520,637
23,Kentucky,"1,160","1,073","1,251",24,19,31,162,145,180,974,892,"1,059","1,136","1,049","1,226"
24,Louisiana,"1,091","1,000","1,188",21,16,27,141,125,159,929,842,"1,021","1,071",980,"1,166"
25,Maine,240,214,268,5,3,6,33,29,38,202,177,229,235,209,263
26,Maryland,996,896,"1,104",16,11,21,144,124,165,837,744,939,981,881,"1,088"
27,Massachusetts,"1,068",952,"1,196",19,14,25,175,149,205,875,769,991,"1,050",934,"1,176"
28,Michigan,"2,037","1,907","2,173",34,27,42,310,284,337,"1,693","1,571","1,822","2,003","1,874","2,137"
29,Minnesota,986,889,"1,090",20,15,26,150,130,172,816,728,913,966,871,"1,069"
30,Mississippi,750,691,811,17,13,22,102,91,113,631,576,689,733,674,794
31,Missouri,"1,237","1,126","1,356",24,18,31,173,151,197,"1,041",937,"1,153","1,214","1,104","1,331"
