"Table 22. Alcohol Use Disorder in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Alcohol Use Disorder is defined as meeting criteria for alcohol dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,5.34%,5.17%,5.51%,1.64%,1.46%,1.83%,9.67%,9.28%,10.09%,5.09%,4.89%,5.29%,5.71%,5.53%,5.90%
2,Northeast,5.28%,4.92%,5.67%,1.68%,1.44%,1.95%,10.12%,9.35%,10.95%,4.92%,4.51%,5.37%,5.61%,5.22%,6.03%
3,Midwest,5.54%,5.23%,5.87%,1.72%,1.50%,1.97%,10.42%,9.77%,11.11%,5.21%,4.85%,5.59%,5.93%,5.59%,6.29%
4,South,4.75%,4.50%,5.01%,1.44%,1.24%,1.67%,8.45%,7.90%,9.04%,4.56%,4.28%,4.86%,5.09%,4.82%,5.37%
5,West,6.15%,5.77%,6.55%,1.85%,1.56%,2.19%,10.60%,9.81%,11.45%,5.95%,5.51%,6.42%,6.59%,6.18%,7.02%
6,Alabama,5.33%,4.37%,6.50%,1.50%,1.05%,2.12%,9.16%,7.36%,11.34%,5.18%,4.10%,6.52%,5.71%,4.66%,6.99%
7,Alaska,7.08%,5.92%,8.46%,1.86%,1.30%,2.66%,12.42%,10.11%,15.16%,6.91%,5.60%,8.49%,7.65%,6.37%,9.16%
8,Arizona,4.79%,3.85%,5.93%,1.71%,1.19%,2.45%,8.85%,6.99%,11.14%,4.49%,3.48%,5.79%,5.10%,4.09%,6.35%
9,Arkansas,4.89%,3.96%,6.03%,1.56%,1.09%,2.23%,8.17%,6.41%,10.37%,4.78%,3.75%,6.07%,5.24%,4.23%,6.49%
10,California,6.28%,5.68%,6.93%,1.80%,1.37%,2.35%,10.51%,9.29%,11.87%,6.12%,5.42%,6.90%,6.73%,6.08%,7.44%
