"Table 26. Needing But Not Receiving Treatment at a Specialty Facility for Substance Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing substance use treatment if they met the criteria for an illicit drug or alcohol use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for illicit drug or alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Needing But Not Receiving Substance Use Treatment refers to respondents who are classified as needing illicit drug or alcohol treatment, but who did not receive illicit drug or alcohol treatment at a specialty facility. Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,6.88%,6.69%,7.09%,3.89%,3.62%,4.17%,13.83%,13.36%,14.30%,6.14%,5.91%,6.38%,7.18%,6.97%,7.40%
2,Northeast,6.74%,6.35%,7.16%,3.64%,3.27%,4.05%,14.75%,13.77%,15.78%,5.84%,5.39%,6.33%,7.03%,6.60%,7.48%
3,Midwest,6.93%,6.60%,7.28%,4.03%,3.67%,4.42%,14.17%,13.36%,15.03%,6.11%,5.72%,6.52%,7.23%,6.87%,7.60%
4,South,6.15%,5.86%,6.46%,3.53%,3.22%,3.87%,12.35%,11.66%,13.08%,5.50%,5.15%,5.86%,6.42%,6.11%,6.75%
5,West,8.11%,7.68%,8.56%,4.50%,4.00%,5.06%,15.17%,14.18%,16.21%,7.41%,6.91%,7.95%,8.48%,8.01%,8.97%
6,Alabama,6.78%,5.67%,8.09%,3.09%,2.38%,4.01%,13.59%,11.24%,16.35%,6.14%,4.94%,7.61%,7.15%,5.95%,8.57%
7,Alaska,8.89%,7.67%,10.28%,4.53%,3.52%,5.82%,16.57%,13.72%,19.87%,8.24%,6.85%,9.87%,9.36%,8.03%,10.89%
8,Arizona,6.58%,5.48%,7.89%,4.38%,3.37%,5.67%,13.09%,10.59%,16.09%,5.79%,4.60%,7.27%,6.81%,5.61%,8.24%
9,Arkansas,6.24%,5.25%,7.40%,3.43%,2.68%,4.37%,12.01%,9.74%,14.73%,5.66%,4.58%,6.98%,6.54%,5.46%,7.80%
10,California,8.36%,7.70%,9.07%,4.36%,3.65%,5.21%,15.26%,13.75%,16.90%,7.72%,6.95%,8.56%,8.76%,8.05%,9.53%
11,Colorado,10.51%,9.13%,12.08%,5.26%,4.06%,6.80%,19.82%,16.89%,23.11%,9.67%,8.10%,11.49%,11.03%,9.53%,12.74%
12,Connecticut,7.22%,6.09%,8.54%,3.41%,2.64%,4.39%,17.26%,14.43%,20.52%,6.05%,4.84%,7.53%,7.59%,6.36%,9.03%
