"Table 29. Received Mental Health Services in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,
"NOTE: Mental Health Services are defined as having received inpatient treatment/counseling or outpatient treatment/counseling or having used prescription medication for problems with emotions, nerves, or mental health. Respondents were not to include treatment for drug or alcohol use.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,15.57%,15.24%,15.91%,16.19%,15.66%,16.73%,15.48%,15.11%,15.85%
2,Northeast,16.96%,16.26%,17.69%,18.01%,16.99%,19.07%,16.80%,16.02%,17.61%
3,Midwest,17.82%,17.21%,18.45%,19.08%,18.23%,19.96%,17.61%,16.94%,18.31%
4,South,14.11%,13.64%,14.60%,14.45%,13.76%,15.18%,14.06%,13.53%,14.60%
5,West,14.90%,14.31%,15.52%,15.04%,14.19%,15.94%,14.88%,14.22%,15.57%
6,Alabama,15.63%,13.71%,17.77%,14.28%,11.96%,16.96%,15.84%,13.73%,18.21%
7,Alaska,17.09%,15.15%,19.22%,17.05%,14.55%,19.88%,17.09%,14.97%,19.44%
8,Arizona,13.66%,11.82%,15.73%,13.46%,11.24%,16.05%,13.69%,11.68%,15.98%
9,Arkansas,16.71%,14.80%,18.81%,15.56%,13.16%,18.31%,16.90%,14.80%,19.22%
10,California,13.08%,12.18%,14.04%,12.94%,11.68%,14.32%,13.11%,12.10%,14.18%
11,Colorado,18.71%,16.70%,20.90%,20.06%,17.34%,23.08%,18.50%,16.29%,20.93%
12,Connecticut,17.50%,15.39%,19.83%,18.33%,15.76%,21.23%,17.36%,15.02%,19.98%
13,Delaware,17.05%,14.96%,19.37%,16.70%,14.22%,19.50%,17.10%,14.82%,19.64%
14,District of Columbia,16.59%,14.72%,18.64%,15.43%,13.04%,18.16%,16.80%,14.75%,19.07%
15,Florida,12.08%,10.98%,13.28%,13.38%,11.94%,14.96%,11.91%,10.71%,13.23%
16,Georgia,12.68%,11.28%,14.24%,13.34%,11.44%,15.51%,12.58%,11.03%,14.30%
17,Hawaii,10.49%,8.96%,12.26%,11.85%,9.79%,14.26%,10.31%,8.65%,12.26%
18,Idaho,18.61%,16.52%,20.90%,19.91%,17.19%,22.93%,18.40%,16.09%,20.95%
19,Illinois,16.35%,14.96%,17.84%,18.55%,16.54%,20.74%,16.01%,14.48%,17.66%
20,Indiana,16.78%,14.91%,18.84%,17.22%,14.82%,19.92%,16.71%,14.65%,19.00%
21,Iowa,19.36%,17.22%,21.70%,19.48%,16.71%,22.59%,19.34%,16.96%,21.96%
22,Kansas,17.23%,15.21%,19.46%,17.71%,15.10%,20.65%,17.15%,14.91%,19.65%
23,Kentucky,19.03%,16.99%,21.26%,17.93%,15.37%,20.82%,19.21%,16.96%,21.67%
24,Louisiana,15.05%,13.23%,17.08%,15.26%,12.97%,17.87%,15.02%,13.01%,17.27%
25,Maine,20.48%,18.24%,22.91%,22.87%,19.99%,26.03%,20.17%,17.75%,22.84%
26,Maryland,13.79%,12.03%,15.76%,15.57%,13.17%,18.32%,13.53%,11.62%,15.69%
27,Massachusetts,21.01%,18.85%,23.34%,21.80%,18.65%,25.32%,20.87%,18.50%,23.47%
28,Michigan,16.97%,15.66%,18.36%,18.50%,16.61%,20.54%,16.73%,15.29%,18.27%
29,Minnesota,19.00%,16.96%,21.21%,20.71%,17.86%,23.89%,18.73%,16.52%,21.18%
30,Mississippi,13.67%,11.92%,15.63%,12.49%,10.54%,14.75%,13.86%,11.93%,16.06%
31,Missouri,17.79%,15.74%,20.04%,18.86%,16.23%,21.81%,17.62%,15.38%,20.11%
32,Montana,17.56%,15.52%,19.80%,17.63%,15.14%,20.45%,17.55%,15.30%,20.04%
33,Nebraska,18.24%,16.13%,20.55%,19.07%,16.44%,22.02%,18.09%,15.76%,20.69%
34,Nevada,14.09%,12.19%,16.22%,13.15%,11.01%,15.64%,14.22%,12.16%,16.56%
35,New Hampshire,19.65%,17.36%,22.17%,22.14%,19.01%,25.62%,19.28%,16.79%,22.05%
36,New Jersey,13.43%,11.89%,15.13%,14.25%,12.10%,16.70%,13.31%,11.64%,15.17%
37,New Mexico,15.48%,13.51%,17.69%,14.58%,12.22%,17.31%,15.63%,13.46%,18.08%
38,New York,15.68%,14.43%,17.01%,15.88%,14.27%,17.62%,15.65%,14.27%,17.14%
39,North Carolina,17.50%,15.81%,19.32%,15.56%,13.59%,17.76%,17.80%,15.93%,19.83%
40,North Dakota,17.40%,15.40%,19.59%,18.51%,15.87%,21.48%,17.18%,14.99%,19.62%
41,Ohio,19.28%,17.84%,20.81%,20.17%,18.26%,22.24%,19.14%,17.55%,20.84%
42,Oklahoma,15.82%,13.89%,17.96%,17.25%,14.83%,19.97%,15.58%,13.45%,17.97%
43,Oregon,18.89%,16.84%,21.11%,19.23%,16.53%,22.26%,18.84%,16.63%,21.26%
44,Pennsylvania,17.77%,16.38%,19.26%,20.17%,18.10%,22.41%,17.42%,15.87%,19.08%
45,Rhode Island,20.27%,18.12%,22.61%,19.42%,16.65%,22.53%,20.42%,18.03%,23.04%
46,South Carolina,15.95%,13.98%,18.13%,15.51%,13.07%,18.32%,16.01%,13.88%,18.40%
47,South Dakota,15.87%,14.00%,17.94%,19.73%,17.03%,22.74%,15.23%,13.18%,17.54%
48,Tennessee,15.17%,13.33%,17.22%,17.60%,15.04%,20.49%,14.80%,12.79%,17.06%
49,Texas,12.06%,11.05%,13.15%,12.33%,10.86%,13.97%,12.01%,10.89%,13.23%
50,Utah,19.55%,17.63%,21.61%,20.54%,17.73%,23.66%,19.33%,17.18%,21.68%
51,Vermont,22.16%,19.69%,24.84%,22.24%,19.37%,25.41%,22.14%,19.40%,25.16%
52,Virginia,14.85%,13.31%,16.54%,16.23%,14.05%,18.68%,14.64%,12.95%,16.51%
53,Washington,18.01%,15.92%,20.30%,18.41%,15.84%,21.28%,17.95%,15.66%,20.49%
54,West Virginia,18.85%,16.71%,21.20%,18.92%,16.37%,21.75%,18.84%,16.49%,21.45%
55,Wisconsin,19.26%,17.10%,21.62%,20.54%,17.88%,23.49%,19.06%,16.68%,21.69%
56,Wyoming,16.99%,14.98%,19.20%,19.74%,17.02%,22.77%,16.57%,14.40%,19.00%
