"Table 14. Binge Alcohol Use in the Past Month, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2018 and 2019 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Binge Alcohol Use is defined as drinking five or more drinks (for males) or four or more drinks (for females) on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days. ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"66,453","65,453","67,460","1,190","1,116","1,269","11,718","11,468","11,970","53,545","52,612","54,487","65,263","64,274","66,260"
2,Northeast,"12,027","11,666","12,397",201,181,222,"2,308","2,213","2,405","9,519","9,166","9,880","11,827","11,466","12,196"
3,Midwest,"15,137","14,734","15,547",264,242,289,"2,719","2,618","2,821","12,154","11,768","12,548","14,873","14,470","15,282"
4,South,"24,105","23,533","24,687",441,403,483,"4,005","3,845","4,168","19,659","19,107","20,219","23,664","23,092","24,244"
5,West,"15,183","14,724","15,650",284,255,316,"2,686","2,563","2,811","12,214","11,776","12,662","14,899","14,440","15,367"
6,Alabama,976,881,"1,077",16,12,21,141,124,161,818,728,915,960,865,"1,061"
7,Alaska,145,132,159,3,2,3,24,21,27,119,107,131,143,130,156
8,Arizona,"1,290","1,161","1,429",24,18,31,222,195,252,"1,044",924,"1,175","1,266","1,137","1,404"
9,Arkansas,528,476,585,11,9,14,92,81,105,425,376,478,517,465,574
10,California,"7,739","7,377","8,112",143,121,169,"1,420","1,329","1,514","6,176","5,833","6,532","7,596","7,234","7,968"
11,Colorado,"1,389","1,274","1,511",24,18,31,237,214,261,"1,128","1,019","1,244","1,366","1,251","1,486"
12,Connecticut,859,783,939,15,11,19,182,166,199,662,591,738,844,769,924
13,Delaware,199,179,220,3,2,4,32,29,36,163,145,183,195,176,217
14,District of Columbia,208,192,225,1,1,2,43,39,48,163,148,179,207,190,223
15,Florida,"4,086","3,834","4,351",60,50,73,586,542,632,"3,439","3,195","3,697","4,025","3,774","4,291"
16,Georgia,"1,851","1,703","2,008",35,27,44,304,271,340,"1,512","1,372","1,661","1,816","1,668","1,972"
17,Hawaii,268,242,295,3,2,4,39,34,44,225,201,251,265,239,292
