"Table 26. Needing But Not Receiving Treatment at a Specialty Facility for Substance Use in the Past Year, by Age Group and State: Estimated Numbers (in Thousands), Annual Averages Based on 2018 and 2019 NSDUHs",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing substance use treatment if they met the criteria for an illicit drug or alcohol use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for illicit drug or alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Needing But Not Receiving Substance Use Treatment refers to respondents who are classified as needing illicit drug or alcohol treatment, but who did not receive illicit drug or alcohol treatment at a specialty facility. Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
NOTE: Estimated numbers appearing as 0 in this table mean that the estimate is greater than 0 but less than 500 (because estimated numbers are shown in thousands).,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"18,898","18,355","19,455",968,901,"1,039","4,685","4,528","4,846","13,245","12,754","13,754","17,930","17,399","18,476"
2,Northeast,"3,222","3,034","3,422",145,130,161,858,801,918,"2,220","2,049","2,405","3,078","2,891","3,275"
3,Midwest,"3,968","3,780","4,166",213,194,233,"1,021",963,"1,083","2,735","2,562","2,919","3,756","3,568","3,952"
4,South,"6,408","6,106","6,724",341,311,374,"1,573","1,485","1,666","4,494","4,212","4,794","6,067","5,768","6,380"
5,West,"5,299","5,017","5,594",270,240,303,"1,233","1,153","1,318","3,796","3,538","4,072","5,030","4,752","5,321"
6,Alabama,278,233,332,11,9,15,69,57,83,198,159,245,267,222,320
7,Alaska,52,45,60,3,2,3,12,10,14,38,31,45,49,42,57
8,Arizona,398,331,477,25,19,32,100,81,123,273,217,343,373,308,452
9,Arkansas,156,131,185,8,6,10,38,30,46,110,89,136,148,124,176
10,California,"2,769","2,551","3,003",132,110,157,637,574,706,"2,000","1,801","2,218","2,637","2,422","2,869"
11,Colorado,505,439,581,23,18,30,117,100,136,366,306,435,482,417,557
12,Connecticut,221,186,261,9,7,12,66,55,79,146,117,181,212,178,252
13,Delaware,61,52,73,3,2,4,15,12,18,43,35,54,58,49,70
14,District of Columbia,63,54,74,2,1,2,14,12,17,47,39,57,61,52,72
15,Florida,"1,007",890,"1,139",55,45,66,224,197,253,728,620,854,952,836,"1,083"
16,Georgia,520,448,602,28,22,36,129,107,153,363,300,437,491,420,573
17,Hawaii,85,72,101,4,3,5,18,15,22,63,51,78,81,68,97
18,Idaho,98,83,116,7,5,8,25,20,30,66,54,82,91,76,109
19,Illinois,744,659,839,40,32,49,179,155,206,525,450,612,704,620,799
20,Indiana,416,352,491,21,17,27,107,89,129,287,233,354,395,331,469
21,Iowa,183,155,216,12,9,15,52,43,63,119,95,148,171,143,204
22,Kansas,153,128,181,9,7,12,42,35,52,101,81,126,144,120,172
23,Kentucky,249,211,293,14,11,17,58,47,70,178,145,217,236,198,279
24,Louisiana,262,219,313,11,9,15,55,45,68,195,158,241,251,208,301
25,Maine,92,78,110,4,3,5,21,18,25,67,54,83,88,74,105
26,Maryland,310,259,370,16,13,21,79,65,96,215,172,268,294,244,353
27,Massachusetts,450,384,528,19,15,24,129,107,155,302,247,370,432,366,508
28,Michigan,578,516,648,28,23,34,153,134,174,397,341,461,550,488,619
29,Minnesota,330,280,388,19,15,24,85,70,103,226,184,277,311,262,369
30,Mississippi,152,126,182,8,6,10,35,28,43,109,87,137,144,119,174
31,Missouri,348,294,411,18,14,22,85,70,102,246,200,302,331,278,393
32,Montana,83,71,96,4,3,5,18,15,22,61,50,73,79,67,92
33,Nebraska,107,90,126,6,5,8,31,26,37,70,56,87,101,84,120
34,Nevada,213,181,250,12,9,15,44,36,54,156,128,190,201,169,237
35,New Hampshire,93,79,110,4,3,5,26,22,32,63,51,78,89,75,106
36,New Jersey,454,389,529,23,18,29,119,100,141,312,257,379,431,367,505
37,New Mexico,122,103,145,8,7,11,34,28,41,80,64,100,114,95,136
