Order,State,"Alcohol Use  in Past Month Estimate","Alcohol Use  in Past Month 95% CI (Lower)","Alcohol Use  in Past Month 95% CI (Upper)","Binge Alcohol Use  in Past Month Estimate","Binge Alcohol Use  in Past Month 95% CI (Lower)","Binge Alcohol Use  in Past Month 95% CI (Upper)"
1,Total U.S.,"7,096","6,849","7,350","4,272","4,078","4,474"
2,Northeast,"1,249","1,193","1,309",788,739,841
3,Midwest,"1,697","1,632","1,763","1,056","1,000","1,115"
4,South,"2,557","2,463","2,654","1,484","1,399","1,573"
5,West,"1,593","1,517","1,672",943,877,"1,014"
6,Alabama,91,78,106,57,47,69
7,Alaska,14,12,16,9,7,11
8,Arizona,141,121,164,82,67,100
9,Arkansas,61,53,71,37,30,44
10,California,800,739,864,471,421,526
11,Colorado,143,126,160,86,73,101
12,Connecticut,121,109,134,82,71,94
13,Delaware,21,19,24,11,9,14
14,District of Columbia,11,9,12,6,5,8
15,Florida,428,394,464,235,209,265
16,Georgia,190,166,217,109,91,130
17,Hawaii,19,16,22,13,10,16
18,Idaho,33,28,39,21,18,26
19,Illinois,266,241,293,163,142,186
20,Indiana,133,114,154,83,69,100
21,Iowa,100,88,112,62,52,73
22,Kansas,83,73,94,54,46,63
23,Kentucky,97,84,112,63,53,75
24,Louisiana,111,97,126,60,50,73
25,Maine,32,28,36,21,18,24
26,Maryland,104,90,121,58,48,71
27,Massachusetts,182,160,206,112,95,131
28,Michigan,260,238,283,154,136,174
29,Minnesota,154,136,173,91,77,106
30,Mississippi,62,54,71,37,31,44
31,Missouri,154,135,175,100,85,118
32,Montana,28,25,31,17,14,19
33,Nebraska,56,50,63,36,31,42
34,Nevada,61,53,70,33,27,40
35,New Hampshire,32,28,37,21,17,24
36,New Jersey,199,177,223,127,109,147
37,New Mexico,41,35,48,24,20,30
38,New York,388,355,424,241,213,272
39,North Carolina,211,188,237,134,115,155
40,North Dakota,23,21,26,17,14,19
41,Ohio,290,266,315,185,165,206
42,Oklahoma,84,73,97,50,42,60
43,Oregon,95,83,109,57,48,68
44,Pennsylvania,238,213,265,150,129,173
45,Rhode Island,33,29,37,20,17,23
46,South Carolina,100,85,116,64,53,77
47,South Dakota,22,19,25,15,13,17
48,Tennessee,132,114,152,81,67,98
49,Texas,646,590,706,355,315,399
50,Utah,44,35,56,33,25,43
51,Vermont,23,21,26,16,13,18
52,Virginia,170,150,191,102,86,119
53,Washington,161,140,184,89,74,107
54,West Virginia,36,31,41,23,19,27
55,Wisconsin,157,140,176,98,83,114
56,Wyoming,14,12,16,8,7,10
