Order,State,"12 or Older  Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"46,420","45,497","47,358",622,569,680,"6,216","6,029","6,406","39,582","38,701","40,481","45,798","44,880","46,731"
2,Northeast,"7,371","7,063","7,691",85,74,98,"1,026",963,"1,093","6,259","5,957","6,574","7,286","6,980","7,604"
3,Midwest,"10,858","10,501","11,223",155,138,174,"1,467","1,397","1,541","9,236","8,888","9,593","10,703","10,349","11,065"
4,South,"19,185","18,646","19,738",270,241,302,"2,447","2,340","2,556","16,469","15,930","17,023","18,916","18,382","19,463"
5,West,"9,006","8,624","9,400",112,95,132,"1,275","1,195","1,360","7,618","7,249","8,003","8,893","8,515","9,285"
6,Alabama,932,843,"1,027",13,10,18,111,94,130,808,725,897,919,831,"1,013"
7,Alaska,102,92,113,2,2,3,14,12,16,86,76,96,100,90,111
8,Arizona,945,831,"1,070",10,7,15,134,112,159,801,696,918,934,822,"1,059"
9,Arkansas,564,512,619,8,6,12,70,60,82,485,436,538,555,504,610
10,California,"3,786","3,515","4,073",37,27,50,553,494,617,"3,196","2,935","3,476","3,748","3,480","4,034"
11,Colorado,784,699,878,13,9,19,114,96,134,658,578,746,771,687,864
12,Connecticut,426,370,488,4,3,6,61,50,73,361,308,420,421,366,483
13,Delaware,143,127,162,1,1,2,17,14,20,126,110,143,142,126,160
14,District of Columbia,97,86,110,1,0,1,14,12,18,82,72,94,97,86,109
15,Florida,"2,830","2,623","3,052",30,23,40,276,244,311,"2,524","2,319","2,743","2,800","2,594","3,020"
16,Georgia,"1,432","1,301","1,573",19,14,26,168,142,198,"1,245","1,122","1,378","1,413","1,284","1,552"
17,Hawaii,163,143,186,1,1,2,18,15,22,143,124,165,162,142,184
18,Idaho,228,202,256,4,3,6,32,27,38,191,167,218,223,198,251
19,Illinois,"1,736","1,598","1,883",18,14,25,212,185,241,"1,506","1,374","1,648","1,717","1,581","1,863"
20,Indiana,"1,254","1,143","1,372",18,13,25,185,159,214,"1,051",948,"1,161","1,236","1,126","1,353"
21,Iowa,542,487,603,10,7,13,72,60,85,461,409,517,533,478,592
22,Kansas,436,389,487,5,4,8,54,45,65,376,333,424,430,384,480
23,Kentucky,933,854,"1,015",16,11,22,120,104,138,797,723,876,917,839,998
24,Louisiana,843,765,926,12,9,17,103,88,120,728,655,806,831,754,913
25,Maine,201,179,226,4,3,5,26,22,30,172,151,195,197,175,222
26,Maryland,751,667,844,8,6,12,95,78,115,648,570,734,743,660,834
27,Massachusetts,861,759,973,11,7,15,132,109,158,718,624,824,850,749,962
28,Michigan,"1,616","1,502","1,736",20,15,26,212,190,236,"1,384","1,275","1,499","1,596","1,483","1,715"
29,Minnesota,766,686,855,13,9,18,111,93,132,642,568,724,753,674,840
30,Mississippi,593,539,650,10,7,14,71,61,82,511,460,566,582,529,639
31,Missouri,"1,009",907,"1,119",16,11,22,138,117,161,855,760,959,993,892,"1,102"
32,Montana,187,169,207,4,3,6,32,28,36,151,134,170,183,165,202
33,Nebraska,285,254,319,4,3,6,43,37,51,237,208,269,281,250,314
34,Nevada,434,385,488,5,3,7,46,39,56,383,336,435,430,381,483
35,New Hampshire,173,151,196,3,2,4,29,24,35,141,121,163,170,149,193
36,New Jersey,991,882,"1,112",11,7,15,128,108,152,852,750,967,981,873,"1,100"
37,New Mexico,337,300,377,5,3,7,52,44,61,281,247,318,332,296,372
38,New York,"2,403","2,226","2,593",24,18,31,326,290,366,"2,053","1,883","2,236","2,380","2,203","2,568"
39,North Carolina,"1,731","1,585","1,886",23,17,31,205,179,235,"1,502","1,363","1,651","1,707","1,563","1,861"
40,North Dakota,121,109,133,2,2,3,20,17,23,99,88,110,118,107,131
41,Ohio,"2,079","1,945","2,219",33,26,42,283,256,312,"1,763","1,635","1,898","2,046","1,913","2,185"
42,Oklahoma,766,694,843,14,10,19,113,98,130,639,572,711,753,682,828
43,Oregon,572,508,642,9,6,12,86,72,102,477,418,543,563,500,632
44,Pennsylvania,"2,072","1,926","2,227",27,21,34,284,254,317,"1,761","1,622","1,910","2,046","1,901","2,198"
45,Rhode Island,148,131,167,1,1,2,22,19,27,125,109,142,147,130,166
46,South Carolina,912,821,"1,009",14,10,20,111,94,131,786,702,877,897,808,994
47,South Dakota,134,120,149,3,2,4,19,16,22,112,99,126,131,117,146
48,Tennessee,"1,180","1,064","1,307",20,15,28,165,142,191,995,885,"1,114","1,160","1,045","1,284"
49,Texas,"3,913","3,660","4,177",55,41,72,568,511,629,"3,291","3,051","3,545","3,858","3,608","4,121"
50,Utah,291,252,334,6,4,9,54,43,67,232,198,271,286,248,328
51,Vermont,96,85,107,2,1,3,18,16,21,76,66,86,94,83,105
52,Virginia,"1,169","1,064","1,283",18,13,24,185,162,211,966,866,"1,075","1,152","1,047","1,264"
53,Washington,"1,081",958,"1,215",13,9,19,125,103,151,942,828,"1,068","1,067",947,"1,200"
54,West Virginia,397,363,433,7,5,9,54,47,61,336,304,371,390,356,426
55,Wisconsin,880,785,983,11,8,16,119,100,139,750,661,848,869,775,971
56,Wyoming,96,86,107,2,2,3,16,14,18,78,68,88,94,84,104
