Order,State,"12 or Older Estimate","12 or Older  95% CI (Lower)","12 or Older  95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)","18 or Older Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)"
1,Total U.S.,"13,977","13,524","14,446",400,358,446,"3,163","3,031","3,300","10,415","9,993","10,854","13,578","13,128","14,043"
2,Northeast,"2,377","2,212","2,555",65,56,76,571,526,619,"1,741","1,591","1,905","2,312","2,148","2,488"
3,Midwest,"3,034","2,864","3,214",89,77,103,713,667,762,"2,232","2,076","2,399","2,945","2,777","3,123"
4,South,"4,732","4,485","4,992",138,119,161,"1,042",972,"1,116","3,553","3,327","3,793","4,594","4,350","4,851"
5,West,"3,833","3,585","4,097",107,90,127,837,770,911,"2,889","2,660","3,136","3,727","3,481","3,987"
6,Alabama,209,170,256,5,4,8,43,34,53,161,126,204,203,165,250
7,Alaska,37,31,44,1,1,1,8,7,10,28,23,35,36,31,43
8,Arizona,277,225,340,10,7,14,68,54,85,199,155,257,267,216,330
9,Arkansas,115,94,140,4,3,5,24,19,31,87,68,110,111,90,136
10,California,"2,008","1,812","2,225",52,39,68,425,374,483,"1,531","1,349","1,735","1,957","1,762","2,171"
11,Colorado,358,299,427,8,6,12,76,63,92,274,221,338,350,292,419
12,Connecticut,172,141,209,5,3,6,43,35,53,123,97,157,167,136,204
13,Delaware,48,39,58,1,1,1,10,8,12,37,29,47,47,38,57
14,District of Columbia,49,41,59,0,0,1,10,8,12,39,32,48,49,41,59
15,Florida,696,594,815,19,14,25,136,115,160,542,448,654,677,576,796
16,Georgia,386,325,457,12,9,17,84,68,102,290,237,354,374,314,444
17,Hawaii,66,54,80,2,1,2,15,12,19,49,39,62,64,52,78
18,Idaho,74,61,89,3,2,4,18,14,22,53,42,67,71,58,86
19,Illinois,563,488,648,15,11,20,124,105,146,424,357,503,548,474,633
20,Indiana,300,249,361,9,7,13,71,57,87,220,176,274,291,241,351
21,Iowa,144,120,174,5,4,7,41,33,50,98,77,125,139,115,168
22,Kansas,121,99,147,4,3,6,32,26,40,84,66,107,117,95,142
23,Kentucky,182,150,222,6,4,8,40,32,49,137,108,173,177,145,215
24,Louisiana,202,164,247,5,4,7,37,29,46,160,126,202,196,160,241
25,Maine,63,52,77,2,1,3,13,10,15,49,38,62,61,50,75
26,Maryland,230,186,283,6,4,9,51,40,63,173,135,221,224,181,276
27,Massachusetts,335,279,402,8,6,11,89,72,109,238,190,297,327,271,393
28,Michigan,461,403,526,12,9,16,104,89,121,345,292,406,449,391,514
29,Minnesota,257,211,312,7,5,10,65,52,80,185,145,235,250,204,304
30,Mississippi,110,89,136,3,2,5,23,18,29,84,65,108,107,86,132
31,Missouri,256,212,309,8,6,11,56,45,69,192,153,240,248,205,300
32,Montana,64,53,78,2,1,3,14,11,17,49,39,61,63,51,76
33,Nebraska,88,73,106,3,2,4,23,19,28,62,49,78,85,70,103
34,Nevada,143,117,176,4,3,6,28,23,34,111,87,142,139,113,171
35,New Hampshire,74,61,90,2,1,3,20,16,24,52,41,67,72,59,88
36,New Jersey,317,262,383,10,7,14,75,61,92,231,183,291,307,252,372
37,New Mexico,86,71,106,3,2,4,22,18,28,62,48,79,84,68,103
38,New York,804,704,917,21,16,28,182,156,212,600,510,705,782,683,895
39,North Carolina,420,353,499,12,8,16,89,74,108,319,258,392,408,342,486
40,North Dakota,39,32,46,1,1,2,11,9,14,26,21,33,37,31,45
41,Ohio,476,413,548,14,11,19,106,91,123,356,299,423,462,400,533
42,Oklahoma,167,138,203,5,4,7,40,32,49,123,97,154,162,133,197
43,Oregon,237,197,283,7,5,10,49,40,60,181,145,224,230,191,276
44,Pennsylvania,524,453,605,15,11,20,125,106,146,384,321,458,508,439,589
45,Rhode Island,54,44,66,1,1,2,15,12,18,38,30,48,53,43,64
46,South Carolina,207,168,255,5,4,8,43,34,53,159,125,203,202,163,249
47,South Dakota,41,34,50,1,1,2,10,8,13,29,23,37,40,33,48
48,Tennessee,263,215,322,8,6,12,61,48,76,195,153,247,255,208,313
49,Texas,"1,039",914,"1,178",35,26,47,258,222,298,746,636,874,"1,004",882,"1,142"
50,Utah,103,82,127,5,3,8,32,24,41,66,50,86,98,78,121
51,Vermont,35,29,43,1,1,1,9,7,11,25,20,32,34,28,41
52,Virginia,349,294,414,9,7,13,81,67,98,258,210,317,340,285,404
53,Washington,352,288,429,11,8,15,76,61,93,266,209,338,341,278,418
54,West Virginia,61,49,77,2,2,3,15,12,18,45,34,59,59,47,75
55,Wisconsin,288,238,348,8,6,12,70,57,86,210,166,264,280,231,339
56,Wyoming,28,23,34,1,1,1,7,5,8,20,16,26,27,22,33
