Order,State,"18 or Older Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)"
1,Total U.S.,"3,411","3,198","3,629","1,250","1,168","1,338","2,160","1,969","2,370"
2,Northeast,551,480,631,201,175,230,350,290,422
3,Midwest,822,740,912,318,288,352,504,435,584
4,South,"1,194","1,064","1,337",444,402,490,750,640,879
5,West,843,737,963,287,251,327,556,464,667
6,Alabama,55,42,72,21,16,28,34,24,49
7,Alaska,9,7,12,4,3,5,5,3,8
8,Arizona,97,74,127,29,22,39,68,48,96
9,Arkansas,37,28,49,11,8,14,26,18,38
10,California,367,298,451,118,94,149,249,189,327
11,Colorado,70,52,94,21,16,29,49,34,71
12,Connecticut,31,22,43,12,8,16,19,12,30
13,Delaware,12,8,16,3,3,5,8,5,12
14,District of Columbia,7,5,9,2,1,3,5,3,7
15,Florida,184,147,229,65,52,80,119,88,162
16,Georgia,99,76,127,39,30,51,60,42,85
17,Hawaii,13,10,19,5,4,7,8,5,14
18,Idaho,25,19,32,9,7,12,16,11,23
19,Illinois,120,95,152,58,46,73,62,43,91
20,Indiana,97,74,127,32,24,42,65,46,93
21,Iowa,44,33,58,18,13,23,26,18,39
22,Kansas,39,31,50,15,12,20,24,17,34
23,Kentucky,54,41,72,17,13,23,37,25,54
24,Louisiana,48,36,65,19,15,25,29,19,44
25,Maine,17,13,22,6,5,9,11,7,15
26,Maryland,56,42,75,25,19,33,31,21,47
27,Massachusetts,65,49,87,28,20,37,38,25,56
28,Michigan,104,83,130,39,31,49,65,48,88
29,Minnesota,62,47,82,26,19,34,36,25,53
30,Mississippi,37,28,49,13,10,17,24,16,35
31,Missouri,74,56,98,25,19,33,49,34,71
32,Montana,12,9,16,4,3,6,8,5,12
33,Nebraska,27,21,35,11,8,14,17,11,24
34,Nevada,32,23,42,12,9,17,19,13,29
35,New Hampshire,14,10,19,6,5,8,8,5,12
36,New Jersey,64,48,87,27,19,37,38,24,59
37,New Mexico,21,16,28,9,7,12,12,8,18
38,New York,186,148,232,57,45,73,129,96,172
39,North Carolina,100,77,128,35,26,45,65,46,91
40,North Dakota,10,8,13,4,3,5,6,4,8
41,Ohio,165,133,203,58,47,72,106,80,141
42,Oklahoma,43,33,56,20,15,26,23,15,34
43,Oregon,57,42,76,20,15,26,37,24,55
44,Pennsylvania,153,123,191,57,46,71,96,71,131
45,Rhode Island,12,9,16,5,4,7,7,5,11
46,South Carolina,63,47,85,18,13,24,46,31,66
47,South Dakota,11,8,14,5,4,6,6,4,9
48,Tennessee,78,59,102,27,20,35,51,35,74
49,Texas,220,173,279,90,71,114,130,93,183
50,Utah,45,35,57,18,14,24,26,19,38
51,Vermont,8,6,10,3,2,5,5,3,7
52,Virginia,77,58,102,32,24,42,45,30,67
53,Washington,87,66,115,33,25,44,54,37,79
54,West Virginia,25,19,33,8,6,11,17,11,25
55,Wisconsin,68,52,89,27,21,36,41,28,60
56,Wyoming,8,6,11,3,2,4,5,4,8
