Order,State,"18 or Older  Estimate","18 or Older  95% CI (Lower)","18 or Older  95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older  Estimate","26 or Older  95% CI (Lower)","26 or Older  95% CI (Upper)"
1,Total U.S.,"1,422","1,289","1,565",633,574,698,790,675,923
2,Northeast,251,203,309,101,85,121,150,110,205
3,Midwest,319,267,380,134,116,154,186,142,242
4,South,528,444,626,243,214,277,285,218,373
5,West,324,266,392,155,132,182,168,123,230
6,Alabama,20,15,28,11,8,16,9,5,15
7,Alaska,2,2,3,2,1,2,1,0,1
8,Arizona,39,28,53,19,13,26,20,12,34
9,Arkansas,16,12,23,6,4,9,10,6,17
10,California,146,110,193,63,48,84,83,54,127
11,Colorado,25,18,34,13,9,18,12,7,21
12,Connecticut,11,8,16,6,4,9,5,3,9
13,Delaware,4,3,6,2,1,3,2,1,4
14,District of Columbia,3,2,5,1,1,2,2,1,3
15,Florida,83,64,107,40,31,52,43,28,65
16,Georgia,45,34,59,24,17,33,21,13,34
17,Hawaii,5,3,7,3,2,4,2,1,3
18,Idaho,10,7,14,3,2,5,6,4,11
19,Illinois,33,24,46,18,13,26,15,8,26
20,Indiana,36,27,50,14,10,20,22,14,35
21,Iowa,16,11,22,7,5,10,9,5,15
22,Kansas,15,11,20,7,5,10,8,5,13
23,Kentucky,22,16,31,9,6,13,13,8,21
24,Louisiana,23,17,31,11,8,16,12,7,19
25,Maine,7,5,10,3,2,4,4,2,7
26,Maryland,22,15,30,10,7,14,12,7,20
27,Massachusetts,20,14,29,12,8,18,8,4,14
28,Michigan,50,38,65,21,16,28,29,19,44
29,Minnesota,19,14,27,11,8,16,8,5,15
30,Mississippi,14,10,19,7,5,9,7,4,12
31,Missouri,34,24,48,13,9,18,21,13,35
32,Montana,5,3,7,2,2,3,2,1,4
33,Nebraska,10,7,14,4,3,6,6,4,10
34,Nevada,15,11,21,8,6,11,7,4,13
35,New Hampshire,7,5,10,3,2,4,4,2,7
36,New Jersey,33,23,48,13,9,19,20,12,35
37,New Mexico,10,7,13,5,3,7,4,3,7
38,New York,92,68,124,31,23,41,62,41,93
39,North Carolina,40,30,54,19,14,27,21,13,34
40,North Dakota,4,3,6,2,1,3,3,2,4
41,Ohio,62,48,81,24,18,31,39,26,57
42,Oklahoma,19,14,26,9,6,13,11,6,17
43,Oregon,20,14,27,10,7,15,9,6,16
44,Pennsylvania,76,56,101,30,22,40,46,29,71
45,Rhode Island,4,3,5,3,2,4,1,1,2
46,South Carolina,22,15,31,9,6,14,13,7,22
47,South Dakota,5,3,7,2,1,3,3,2,5
48,Tennessee,37,26,51,16,11,23,20,12,34
49,Texas,114,85,152,48,36,64,66,42,102
50,Utah,21,15,29,11,7,16,10,6,18
51,Vermont,2,2,3,1,1,2,1,0,2
52,Virginia,34,25,46,16,11,22,18,11,30
53,Washington,25,18,34,15,11,22,9,5,17
54,West Virginia,11,8,16,4,3,6,7,4,12
55,Wisconsin,34,23,48,11,8,16,23,13,38
56,Wyoming,3,2,4,1,1,2,1,1,3
