Order,State,12 or Older  Estimate,12 or Older  95% CI (Lower),12 or Older  95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26 or Older  Estimate,26 or Older  95% CI (Lower),26 or Older  95% CI (Upper),18 or Older  Estimate,18 or Older  95% CI (Lower),18 or Older  95% CI (Upper)
1,Total U.S.,"9,094","8,706","9,499",591,538,648,"2,056","1,940","2,178","6,447","6,092","6,822","8,503","8,119","8,905"
2,Northeast,"1,499","1,370","1,641",84,73,97,364,327,405,"1,051",934,"1,183","1,415","1,288","1,554"
3,Midwest,"1,896","1,762","2,039",125,110,141,445,408,485,"1,327","1,205","1,460","1,771","1,640","1,913"
4,South,"3,183","2,976","3,404",229,204,256,703,647,763,"2,252","2,063","2,457","2,954","2,752","3,171"
5,West,"2,516","2,315","2,733",153,132,178,545,492,602,"1,818","1,631","2,025","2,362","2,165","2,577"
6,Alabama,137,108,174,9,6,12,28,21,37,100,74,134,128,100,164
7,Alaska,20,16,25,1,1,2,4,3,5,15,11,19,19,14,24
8,Arizona,207,161,267,14,10,19,38,28,52,155,114,211,193,148,252
9,Arkansas,73,56,94,5,4,7,15,11,21,52,37,72,67,51,88
10,California,"1,329","1,175","1,503",77,61,96,292,249,343,960,818,"1,126","1,253","1,101","1,425"
11,Colorado,226,182,279,13,9,18,50,40,64,162,124,213,213,170,266
12,Connecticut,109,85,139,6,4,8,27,21,35,76,55,104,103,79,133
13,Delaware,33,26,42,2,1,2,6,5,8,25,19,33,31,24,40
14,District of Columbia,32,25,40,1,0,1,7,5,9,24,18,32,31,24,40
15,Florida,559,476,656,40,31,50,108,90,129,411,334,505,519,437,616
16,Georgia,244,193,307,17,12,22,48,36,63,179,134,240,227,178,290
17,Hawaii,39,31,50,2,1,3,8,6,11,29,21,39,37,29,48
18,Idaho,39,30,50,3,2,5,10,7,13,26,18,36,35,27,46
19,Illinois,341,287,405,21,17,27,73,59,90,247,198,307,320,267,384
20,Indiana,183,145,229,15,11,21,49,37,65,118,87,160,167,131,213
21,Iowa,93,74,117,6,5,9,22,17,29,64,48,86,87,68,110
22,Kansas,98,77,123,5,4,8,22,16,29,71,53,94,92,72,118
23,Kentucky,116,91,146,7,5,9,21,16,29,88,66,117,109,85,139
24,Louisiana,125,97,160,9,6,12,27,20,36,88,64,122,116,89,151
25,Maine,37,30,47,2,2,3,8,6,11,27,20,36,35,28,45
26,Maryland,167,132,211,9,7,13,34,25,45,124,93,165,158,124,201
27,Massachusetts,222,177,278,10,7,14,57,43,75,155,116,207,212,167,268
28,Michigan,309,262,365,18,13,23,80,67,96,211,169,264,292,245,347
29,Minnesota,150,118,190,10,8,14,36,27,48,103,76,139,139,109,179
30,Mississippi,73,58,93,5,4,7,16,12,21,52,39,70,68,53,87
31,Missouri,151,118,194,11,8,16,34,26,46,105,77,145,140,108,182
32,Montana,33,27,42,2,2,3,9,7,12,22,16,30,31,25,39
33,Nebraska,42,33,53,4,3,5,13,10,16,26,18,36,39,30,50
34,Nevada,95,74,121,6,4,8,17,13,23,72,53,97,89,68,115
35,New Hampshire,39,31,49,2,2,3,11,9,15,25,18,35,37,29,47
36,New Jersey,188,149,239,12,9,17,46,35,60,131,96,178,177,138,226
37,New Mexico,51,39,65,5,4,7,11,8,15,34,24,48,46,34,60
38,New York,537,456,631,30,24,38,126,104,152,381,308,470,507,427,600
39,North Carolina,271,222,330,20,15,27,68,54,85,183,140,237,251,203,309
40,North Dakota,19,15,25,1,1,2,5,4,7,13,10,18,18,14,23
41,Ohio,309,260,366,19,15,24,66,54,80,224,180,278,290,242,346
42,Oklahoma,109,85,139,8,6,11,26,19,34,75,55,103,101,78,131
43,Oregon,155,124,193,8,6,11,35,27,46,112,84,147,147,117,185
44,Pennsylvania,310,259,372,19,15,25,74,60,91,217,171,274,291,240,352
45,Rhode Island,35,28,44,2,1,2,9,7,11,25,19,34,34,27,43
46,South Carolina,140,110,178,10,7,14,29,22,39,100,74,136,130,100,167
47,South Dakota,18,14,23,2,1,2,5,4,6,11,8,16,16,12,21
48,Tennessee,176,138,224,11,8,16,35,26,47,129,96,173,164,127,212
49,Texas,687,590,800,60,47,76,171,141,206,457,373,559,628,533,738
50,Utah,77,62,95,8,6,11,23,18,31,46,34,61,69,54,87
51,Vermont,22,17,27,1,1,1,6,5,8,14,10,19,20,16,26
52,Virginia,200,163,246,14,10,18,53,42,68,133,101,176,187,150,232
53,Washington,233,182,298,13,9,18,42,32,56,178,132,240,221,170,285
54,West Virginia,42,33,53,3,2,4,9,7,12,29,22,40,39,30,50
55,Wisconsin,182,145,229,11,8,16,39,30,50,132,99,176,171,135,217
56,Wyoming,11,9,15,1,1,2,3,2,4,7,5,10,10,8,13
