"Table 1. Illicit Drug Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,12.34%,12.05%,12.63%,8.37%,8.00%,8.75%,24.40%,23.74%,25.07%,10.90%,10.57%,11.24%,12.73%,12.42%,13.05%
2,Northeast,12.86%,12.30%,13.44%,8.56%,7.85%,9.32%,26.58%,25.04%,28.18%,11.21%,10.53%,11.92%,13.25%,12.64%,13.88%
3,Midwest,11.87%,11.41%,12.34%,8.15%,7.58%,8.75%,24.37%,23.04%,25.75%,10.30%,9.74%,10.89%,12.25%,11.75%,12.76%
4,South,10.34%,9.97%,10.72%,7.38%,6.84%,7.94%,20.84%,19.66%,22.08%,9.05%,8.59%,9.54%,10.64%,10.25%,11.05%
5,West,15.54%,14.94%,16.16%,10.03%,9.26%,10.86%,28.44%,26.89%,30.04%,14.14%,13.41%,14.90%,16.10%,15.45%,16.77%
6,Alabama,10.59%,9.06%,12.34%,7.02%,5.59%,8.78%,20.58%,17.43%,24.12%,9.44%,7.73%,11.47%,10.94%,9.30%,12.83%
7,Alaska,18.78%,16.69%,21.06%,9.81%,7.93%,12.08%,30.90%,26.84%,35.28%,18.02%,15.58%,20.75%,19.76%,17.48%,22.26%
8,Arizona,12.67%,10.91%,14.65%,7.71%,5.98%,9.90%,22.20%,18.66%,26.20%,11.71%,9.70%,14.08%,13.17%,11.28%,15.32%
9,Arkansas,9.45%,8.02%,11.11%,6.52%,5.13%,8.24%,17.14%,14.14%,20.62%,8.58%,6.96%,10.52%,9.76%,8.21%,11.55%
10,California,15.20%,14.32%,16.13%,10.41%,9.22%,11.74%,28.83%,26.69%,31.08%,13.57%,12.51%,14.69%,15.68%,14.73%,16.69%
