"Table 2. Marijuana Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,16.71%,16.36%,17.06%,12.84%,12.37%,13.32%,35.09%,34.33%,35.85%,14.27%,13.88%,14.67%,17.10%,16.72%,17.47%
2,Northeast,17.70%,17.03%,18.39%,13.30%,12.41%,14.25%,39.12%,37.65%,40.61%,14.88%,14.09%,15.72%,18.10%,17.39%,18.84%
3,Midwest,16.28%,15.72%,16.86%,12.47%,11.77%,13.21%,35.45%,34.25%,36.67%,13.65%,12.98%,14.35%,16.67%,16.07%,17.29%
4,South,13.98%,13.52%,14.45%,11.19%,10.56%,11.86%,30.17%,29.13%,31.22%,11.79%,11.22%,12.38%,14.27%,13.77%,14.77%
5,West,20.70%,20.02%,21.41%,15.50%,14.52%,16.53%,39.60%,38.19%,41.04%,18.31%,17.48%,19.17%,21.23%,20.49%,21.99%
6,Alabama,14.74%,12.86%,16.85%,9.72%,7.88%,11.93%,30.01%,26.32%,33.98%,12.93%,10.86%,15.33%,15.24%,13.24%,17.49%
7,Alaska,24.97%,22.75%,27.32%,17.75%,15.10%,20.74%,41.30%,37.10%,45.64%,23.33%,20.73%,26.14%,25.75%,23.36%,28.30%
8,Arizona,16.01%,14.07%,18.16%,12.70%,10.38%,15.45%,30.17%,26.32%,34.32%,14.11%,11.95%,16.60%,16.35%,14.29%,18.64%
9,Arkansas,13.53%,11.87%,15.39%,11.20%,9.25%,13.50%,26.25%,22.57%,30.30%,11.78%,9.95%,13.90%,13.78%,12.01%,15.76%
10,California,20.06%,19.04%,21.11%,15.82%,14.33%,17.44%,40.40%,38.27%,42.57%,17.27%,16.08%,18.53%,20.48%,19.39%,21.61%
11,Colorado,26.32%,24.01%,28.77%,17.60%,14.72%,20.90%,48.54%,44.45%,52.66%,23.86%,21.16%,26.78%,27.19%,24.72%,29.81%
12,Connecticut,19.05%,16.97%,21.31%,14.08%,11.67%,16.87%,43.91%,39.69%,48.23%,15.64%,13.32%,18.29%,19.53%,17.31%,21.95%
13,Delaware,18.18%,16.12%,20.45%,14.43%,12.01%,17.23%,41.57%,37.25%,46.02%,15.29%,13.05%,17.84%,18.53%,16.35%,20.93%
14,District of Columbia,27.42%,24.83%,30.17%,18.01%,15.08%,21.36%,49.84%,44.70%,54.99%,24.01%,21.08%,27.20%,27.95%,25.24%,30.83%
15,Florida,14.80%,13.75%,15.91%,12.11%,10.73%,13.65%,32.76%,30.53%,35.06%,12.69%,11.49%,13.99%,15.03%,13.92%,16.20%
16,Georgia,15.00%,13.60%,16.51%,11.22%,9.48%,13.23%,30.67%,27.47%,34.07%,12.92%,11.34%,14.67%,15.42%,13.92%,17.05%
17,Hawaii,15.77%,13.91%,17.83%,11.92%,9.78%,14.46%,29.57%,25.90%,33.52%,14.38%,12.29%,16.74%,16.12%,14.14%,18.32%
18,Idaho,14.03%,12.32%,15.93%,12.04%,9.94%,14.51%,28.99%,25.34%,32.95%,11.85%,9.95%,14.06%,14.27%,12.44%,16.31%
19,Illinois,16.38%,15.11%,17.74%,13.55%,11.71%,15.64%,34.01%,31.24%,36.89%,13.96%,12.50%,15.56%,16.67%,15.31%,18.12%
