"Table 3. Marijuana Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,10.80%,10.53%,11.07%,7.02%,6.67%,7.38%,22.54%,21.90%,23.19%,9.39%,9.08%,9.70%,11.17%,10.88%,11.47%
2,Northeast,11.42%,10.88%,11.98%,7.37%,6.73%,8.06%,24.88%,23.44%,26.39%,9.78%,9.15%,10.45%,11.79%,11.21%,12.39%
3,Midwest,10.28%,9.83%,10.74%,6.64%,6.13%,7.20%,22.47%,21.24%,23.76%,8.74%,8.22%,9.30%,10.65%,10.17%,11.14%
4,South,8.87%,8.53%,9.22%,6.13%,5.66%,6.64%,18.97%,17.89%,20.10%,7.62%,7.20%,8.06%,9.15%,8.78%,9.53%
5,West,13.87%,13.29%,14.47%,8.54%,7.83%,9.32%,26.53%,25.11%,28.00%,12.49%,11.78%,13.23%,14.41%,13.78%,15.06%
6,Alabama,8.67%,7.30%,10.28%,5.80%,4.48%,7.47%,18.34%,15.48%,21.60%,7.49%,5.99%,9.33%,8.96%,7.50%,10.68%
7,Alaska,17.25%,15.28%,19.42%,8.54%,6.76%,10.74%,30.71%,26.81%,34.91%,16.25%,13.97%,18.83%,18.20%,16.06%,20.56%
8,Arizona,11.00%,9.31%,12.96%,6.04%,4.54%,7.99%,20.80%,17.51%,24.52%,10.01%,8.10%,12.31%,11.51%,9.70%,13.61%
9,Arkansas,8.46%,7.05%,10.11%,5.82%,4.51%,7.47%,15.80%,13.00%,19.08%,7.60%,6.05%,9.51%,8.73%,7.23%,10.52%
10,California,13.47%,12.62%,14.36%,8.85%,7.72%,10.12%,26.48%,24.48%,28.58%,11.91%,10.91%,12.98%,13.93%,13.02%,14.89%
11,Colorado,17.39%,15.41%,19.57%,9.75%,7.77%,12.18%,34.39%,30.50%,38.50%,15.62%,13.38%,18.15%,18.15%,16.02%,20.50%
12,Connecticut,12.34%,10.56%,14.37%,7.46%,5.87%,9.42%,27.22%,23.46%,31.33%,10.52%,8.56%,12.86%,12.81%,10.91%,14.99%
13,Delaware,12.26%,10.57%,14.18%,8.26%,6.46%,10.51%,27.58%,23.92%,31.55%,10.53%,8.69%,12.70%,12.63%,10.85%,14.65%
14,District of Columbia,16.39%,14.33%,18.68%,8.99%,7.11%,11.30%,30.73%,26.41%,35.43%,14.30%,12.05%,16.89%,16.80%,14.65%,19.20%
15,Florida,10.11%,9.23%,11.07%,6.47%,5.47%,7.63%,21.45%,19.48%,23.57%,8.96%,7.95%,10.09%,10.42%,9.47%,11.45%
