"Table 5. First Use of Marijuana, by Age Group and State: Average Annual Initiation Estimates (Expressed as Percentages of the At-Risk Population) Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Average annual initiation of marijuana (%) = 100 * {[X1 ÷ (0.5 * X1 + X2)] ÷ 2}, where X1 is the number of marijuana initiates in the past 24 months and X2 is the number of individuals who never used marijuana (with the at-risk population defined as 0.5 * X1 + X2). Both of the computation components, X1 and X2, are based on a survey-weighted hierarchical Bayes estimation approach. The age group shown is based on a respondent's age at the time of the interview, not his or her age at first use. For details, see Section B of the “2018-2019 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology” at https://www.samhsa.gov/data/.",,,,,,,,,,,,,,,,
"NOTE: The state and census region Bayesian confidence (credible) intervals presented here use a simultaneous solution for the First Use of Marijuana and Never Used Marijuana outcomes, which had age group-specific random effects that were allowed to be correlated across the two outcomes. The associated Markov Chain Monte Carlo chains were used to calculate the posterior variance. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,2.31%,2.22%,2.40%,5.70%,5.45%,5.95%,8.39%,7.98%,8.81%,0.67%,0.60%,0.75%,1.73%,1.64%,1.83%
2,Northeast,2.44%,2.29%,2.59%,5.99%,5.59%,6.42%,9.82%,9.03%,10.66%,0.70%,0.59%,0.82%,1.87%,1.72%,2.03%
3,Midwest,2.48%,2.35%,2.61%,5.55%,5.23%,5.89%,9.24%,8.63%,9.88%,0.69%,0.60%,0.80%,1.92%,1.79%,2.06%
4,South,1.92%,1.82%,2.02%,5.08%,4.79%,5.39%,6.99%,6.55%,7.46%,0.52%,0.44%,0.61%,1.40%,1.30%,1.51%
5,West,2.78%,2.62%,2.96%,6.65%,6.19%,7.14%,9.12%,8.40%,9.88%,0.91%,0.77%,1.08%,2.08%,1.91%,2.26%
6,Alabama,1.81%,1.55%,2.10%,4.62%,3.76%,5.66%,6.54%,5.21%,8.18%,0.51%,0.36%,0.71%,1.35%,1.11%,1.65%
7,Alaska,3.58%,3.08%,4.17%,7.78%,6.55%,9.22%,10.11%,8.00%,12.71%,1.28%,0.90%,1.81%,2.62%,2.12%,3.24%
8,Arizona,2.43%,2.06%,2.86%,6.00%,4.87%,7.36%,7.38%,5.75%,9.43%,0.81%,0.57%,1.15%,1.78%,1.43%,2.21%
9,Arkansas,1.97%,1.69%,2.30%,5.02%,4.10%,6.12%,7.27%,5.71%,9.22%,0.51%,0.37%,0.71%,1.46%,1.18%,1.79%
10,California,2.66%,2.44%,2.91%,6.83%,6.13%,7.60%,8.93%,7.88%,10.10%,0.84%,0.66%,1.07%,1.94%,1.72%,2.20%
11,Colorado,3.80%,3.24%,4.44%,7.97%,6.61%,9.57%,12.49%,10.01%,15.47%,1.21%,0.84%,1.73%,2.88%,2.34%,3.54%
12,Connecticut,3.08%,2.64%,3.60%,6.57%,5.37%,8.01%,11.64%,9.40%,14.34%,0.96%,0.68%,1.33%,2.43%,2.00%,2.95%
13,Delaware,2.60%,2.22%,3.04%,7.12%,5.92%,8.53%,9.35%,7.46%,11.67%,0.79%,0.57%,1.11%,1.84%,1.49%,2.26%
14,District of Columbia,3.96%,3.29%,4.77%,9.50%,8.03%,11.21%,11.37%,8.73%,14.68%,1.50%,1.00%,2.24%,3.22%,2.53%,4.09%
15,Florida,1.77%,1.60%,1.96%,5.28%,4.65%,5.99%,7.48%,6.50%,8.61%,0.48%,0.37%,0.63%,1.29%,1.12%,1.48%
16,Georgia,1.98%,1.74%,2.26%,4.93%,4.16%,5.82%,6.75%,5.52%,8.22%,0.53%,0.40%,0.72%,1.46%,1.22%,1.73%
17,Hawaii,2.06%,1.74%,2.45%,5.70%,4.64%,6.98%,6.53%,5.04%,8.42%,0.74%,0.49%,1.11%,1.48%,1.16%,1.89%
18,Idaho,2.25%,1.94%,2.62%,5.43%,4.44%,6.63%,6.90%,5.50%,8.62%,0.60%,0.43%,0.84%,1.59%,1.30%,1.95%
19,Illinois,2.33%,2.08%,2.60%,6.04%,5.26%,6.92%,7.82%,6.63%,9.22%,0.68%,0.52%,0.88%,1.67%,1.44%,1.95%
20,Indiana,2.54%,2.20%,2.93%,5.34%,4.41%,6.46%,8.98%,7.23%,11.10%,0.72%,0.53%,0.98%,1.98%,1.65%,2.39%
21,Iowa,2.12%,1.82%,2.47%,5.06%,4.11%,6.22%,7.55%,5.98%,9.49%,0.54%,0.38%,0.76%,1.63%,1.33%,1.99%
22,Kansas,2.40%,2.06%,2.79%,4.96%,4.06%,6.05%,7.79%,6.17%,9.79%,0.73%,0.54%,0.99%,1.89%,1.55%,2.30%
23,Kentucky,2.18%,1.86%,2.54%,5.03%,4.09%,6.17%,8.14%,6.46%,10.21%,0.62%,0.44%,0.85%,1.68%,1.37%,2.05%
24,Louisiana,1.74%,1.49%,2.02%,4.33%,3.51%,5.32%,6.79%,5.41%,8.50%,0.45%,0.33%,0.63%,1.31%,1.08%,1.60%
25,Maine,3.38%,2.87%,3.98%,7.71%,6.40%,9.25%,14.39%,11.57%,17.76%,1.09%,0.74%,1.61%,2.61%,2.10%,3.25%
26,Maryland,2.18%,1.87%,2.54%,5.46%,4.46%,6.68%,8.06%,6.37%,10.14%,0.64%,0.47%,0.88%,1.60%,1.31%,1.95%
27,Massachusetts,3.79%,3.23%,4.45%,7.25%,6.04%,8.70%,15.27%,12.23%,18.91%,1.13%,0.79%,1.60%,3.17%,2.58%,3.88%
28,Michigan,3.18%,2.86%,3.55%,6.30%,5.54%,7.17%,12.69%,11.03%,14.56%,0.93%,0.71%,1.22%,2.59%,2.24%,2.98%
29,Minnesota,2.49%,2.14%,2.90%,5.13%,4.20%,6.26%,9.58%,7.66%,11.92%,0.78%,0.57%,1.05%,1.98%,1.63%,2.40%
30,Mississippi,1.67%,1.43%,1.95%,4.55%,3.70%,5.57%,5.83%,4.63%,7.32%,0.37%,0.26%,0.54%,1.19%,0.97%,1.47%
31,Missouri,2.25%,1.94%,2.61%,5.05%,4.15%,6.12%,8.93%,7.18%,11.05%,0.57%,0.41%,0.79%,1.76%,1.45%,2.13%
32,Montana,3.33%,2.86%,3.88%,7.46%,6.28%,8.83%,11.70%,9.37%,14.51%,0.98%,0.70%,1.38%,2.52%,2.06%,3.09%
33,Nebraska,2.39%,2.07%,2.77%,6.29%,5.20%,7.60%,8.29%,6.61%,10.36%,0.56%,0.40%,0.80%,1.70%,1.39%,2.07%
34,Nevada,2.97%,2.55%,3.47%,7.38%,6.13%,8.87%,10.66%,8.42%,13.42%,1.01%,0.72%,1.41%,2.15%,1.74%,2.66%
35,New Hampshire,3.50%,2.98%,4.11%,7.68%,6.46%,9.11%,13.81%,10.82%,17.45%,1.01%,0.70%,1.45%,2.68%,2.14%,3.34%
36,New Jersey,1.90%,1.66%,2.17%,5.22%,4.37%,6.23%,8.59%,6.99%,10.52%,0.48%,0.35%,0.66%,1.39%,1.16%,1.67%
37,New Mexico,3.10%,2.65%,3.62%,8.75%,7.31%,10.44%,9.39%,7.38%,11.89%,0.88%,0.60%,1.27%,2.06%,1.65%,2.57%
38,New York,2.15%,1.94%,2.38%,5.59%,4.96%,6.30%,8.60%,7.39%,9.98%,0.63%,0.49%,0.81%,1.64%,1.42%,1.88%
39,North Carolina,2.10%,1.84%,2.40%,6.14%,5.22%,7.22%,6.46%,5.21%,7.97%,0.59%,0.44%,0.81%,1.41%,1.16%,1.71%
40,North Dakota,2.14%,1.82%,2.53%,4.03%,3.19%,5.08%,8.75%,6.96%,10.95%,0.56%,0.39%,0.80%,1.85%,1.51%,2.26%
41,Ohio,2.44%,2.19%,2.71%,5.39%,4.72%,6.16%,10.08%,8.69%,11.66%,0.63%,0.48%,0.82%,1.91%,1.66%,2.20%
42,Oklahoma,2.26%,1.94%,2.64%,4.70%,3.81%,5.78%,8.19%,6.43%,10.38%,0.71%,0.52%,0.97%,1.80%,1.47%,2.20%
43,Oregon,3.36%,2.87%,3.93%,7.16%,6.02%,8.50%,11.66%,9.32%,14.50%,1.26%,0.90%,1.77%,2.64%,2.14%,3.25%
44,Pennsylvania,2.24%,2.01%,2.49%,5.81%,5.10%,6.62%,8.30%,7.09%,9.70%,0.63%,0.48%,0.82%,1.66%,1.43%,1.92%
45,Rhode Island,3.34%,2.84%,3.92%,6.78%,5.62%,8.16%,11.82%,9.38%,14.80%,1.09%,0.79%,1.52%,2.72%,2.21%,3.33%
46,South Carolina,1.75%,1.49%,2.04%,5.07%,4.13%,6.20%,6.11%,4.81%,7.73%,0.46%,0.33%,0.65%,1.23%,0.99%,1.52%
47,South Dakota,1.91%,1.62%,2.24%,4.45%,3.58%,5.51%,7.84%,6.16%,9.92%,0.50%,0.34%,0.74%,1.49%,1.20%,1.85%
48,Tennessee,1.87%,1.60%,2.20%,4.94%,4.01%,6.06%,7.04%,5.52%,8.95%,0.48%,0.34%,0.67%,1.38%,1.12%,1.69%
49,Texas,1.87%,1.69%,2.07%,4.86%,4.24%,5.56%,6.47%,5.58%,7.49%,0.48%,0.36%,0.64%,1.35%,1.18%,1.56%
50,Utah,1.84%,1.55%,2.18%,3.68%,2.91%,4.66%,5.48%,4.26%,7.01%,0.50%,0.34%,0.75%,1.45%,1.17%,1.80%
51,Vermont,4.19%,3.56%,4.92%,9.31%,7.83%,11.03%,15.54%,12.37%,19.33%,1.14%,0.78%,1.68%,3.25%,2.63%,4.02%
52,Virginia,1.89%,1.66%,2.15%,4.87%,4.10%,5.77%,7.53%,6.16%,9.16%,0.53%,0.39%,0.70%,1.42%,1.19%,1.69%
53,Washington,3.51%,2.97%,4.15%,6.35%,5.24%,7.67%,11.45%,9.13%,14.26%,1.41%,0.98%,2.02%,2.93%,2.35%,3.64%
54,West Virginia,2.14%,1.84%,2.49%,5.97%,4.95%,7.17%,8.43%,6.79%,10.42%,0.57%,0.40%,0.81%,1.55%,1.27%,1.90%
