"Table 9. Heroin Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,0.28%,0.24%,0.34%,0.02%,0.01%,0.05%,0.36%,0.28%,0.45%,0.30%,0.25%,0.37%,0.31%,0.26%,0.37%
2,Northeast,0.36%,0.26%,0.50%,0.02%,0.00%,0.10%,0.45%,0.33%,0.62%,0.38%,0.26%,0.56%,0.39%,0.28%,0.54%
3,Midwest,0.31%,0.23%,0.41%,0.03%,0.01%,0.11%,0.40%,0.30%,0.54%,0.32%,0.24%,0.45%,0.34%,0.25%,0.44%
4,South,0.23%,0.17%,0.31%,0.02%,0.00%,0.10%,0.33%,0.25%,0.43%,0.24%,0.17%,0.34%,0.26%,0.19%,0.34%
5,West,0.28%,0.20%,0.40%,0.02%,0.00%,0.10%,0.30%,0.22%,0.41%,0.31%,0.21%,0.45%,0.31%,0.22%,0.43%
6,Alabama,0.27%,0.13%,0.55%,0.03%,0.00%,0.40%,0.35%,0.17%,0.70%,0.29%,0.13%,0.64%,0.30%,0.15%,0.60%
7,Alaska,0.54%,0.26%,1.14%,0.03%,0.00%,0.30%,0.32%,0.15%,0.65%,0.64%,0.29%,1.42%,0.60%,0.28%,1.26%
8,Arizona,0.36%,0.17%,0.75%,0.01%,0.00%,0.09%,0.44%,0.23%,0.86%,0.39%,0.17%,0.90%,0.40%,0.19%,0.83%
9,Arkansas,0.22%,0.10%,0.45%,0.03%,0.01%,0.11%,0.39%,0.20%,0.75%,0.21%,0.09%,0.51%,0.23%,0.11%,0.49%
10,California,0.22%,0.12%,0.40%,0.01%,0.00%,0.23%,0.20%,0.11%,0.37%,0.25%,0.13%,0.48%,0.24%,0.14%,0.44%
11,Colorado,0.35%,0.18%,0.68%,0.01%,0.00%,0.12%,0.53%,0.27%,1.02%,0.36%,0.16%,0.78%,0.38%,0.19%,0.75%
12,Connecticut,0.33%,0.15%,0.73%,0.01%,0.00%,0.09%,0.38%,0.19%,0.75%,0.36%,0.14%,0.88%,0.36%,0.16%,0.80%
13,Delaware,0.58%,0.27%,1.23%,0.03%,0.01%,0.15%,0.59%,0.28%,1.22%,0.64%,0.28%,1.44%,0.63%,0.29%,1.34%
14,District of Columbia,0.65%,0.32%,1.31%,0.01%,0.00%,0.11%,0.32%,0.16%,0.67%,0.75%,0.35%,1.58%,0.69%,0.34%,1.39%
15,Florida,0.24%,0.14%,0.42%,0.02%,0.00%,0.10%,0.40%,0.24%,0.67%,0.24%,0.13%,0.46%,0.26%,0.15%,0.46%
16,Georgia,0.16%,0.07%,0.36%,0.02%,0.00%,0.11%,0.23%,0.11%,0.47%,0.17%,0.07%,0.43%,0.18%,0.08%,0.40%
17,Hawaii,0.26%,0.12%,0.58%,0.02%,0.00%,0.11%,0.18%,0.08%,0.38%,0.30%,0.13%,0.70%,0.28%,0.13%,0.64%
18,Idaho,0.30%,0.15%,0.59%,0.03%,0.01%,0.12%,0.36%,0.18%,0.70%,0.33%,0.15%,0.71%,0.33%,0.16%,0.66%
19,Illinois,0.24%,0.13%,0.46%,0.01%,0.00%,0.09%,0.31%,0.17%,0.57%,0.26%,0.12%,0.54%,0.26%,0.14%,0.51%
20,Indiana,0.32%,0.16%,0.63%,0.03%,0.01%,0.13%,0.50%,0.26%,0.95%,0.33%,0.14%,0.73%,0.35%,0.18%,0.69%
21,Iowa,0.25%,0.12%,0.52%,0.03%,0.01%,0.11%,0.38%,0.19%,0.76%,0.25%,0.10%,0.61%,0.27%,0.13%,0.58%
22,Kansas,0.49%,0.23%,1.04%,0.02%,0.01%,0.11%,0.45%,0.22%,0.92%,0.55%,0.24%,1.28%,0.54%,0.25%,1.16%
23,Kentucky,0.40%,0.21%,0.76%,0.04%,0.01%,0.15%,0.52%,0.27%,0.99%,0.42%,0.20%,0.89%,0.43%,0.22%,0.83%
24,Louisiana,0.28%,0.14%,0.58%,0.02%,0.00%,0.12%,0.30%,0.15%,0.60%,0.31%,0.14%,0.69%,0.31%,0.15%,0.64%
25,Maine,0.56%,0.28%,1.12%,0.03%,0.01%,0.13%,0.81%,0.42%,1.54%,0.58%,0.27%,1.27%,0.61%,0.31%,1.21%
26,Maryland,0.24%,0.11%,0.50%,0.02%,0.00%,0.10%,0.30%,0.15%,0.61%,0.25%,0.11%,0.59%,0.26%,0.12%,0.55%
27,Massachusetts,0.38%,0.19%,0.74%,0.02%,0.00%,0.30%,0.44%,0.23%,0.86%,0.41%,0.19%,0.87%,0.41%,0.21%,0.81%
28,Michigan,0.32%,0.18%,0.57%,0.03%,0.01%,0.13%,0.37%,0.21%,0.65%,0.35%,0.18%,0.66%,0.35%,0.20%,0.62%
29,Minnesota,0.29%,0.15%,0.58%,0.02%,0.00%,0.11%,0.43%,0.22%,0.83%,0.30%,0.14%,0.67%,0.32%,0.16%,0.64%
30,Mississippi,0.22%,0.11%,0.46%,0.02%,0.00%,0.25%,0.31%,0.16%,0.62%,0.23%,0.10%,0.55%,0.24%,0.12%,0.51%
31,Missouri,0.28%,0.14%,0.56%,0.03%,0.01%,0.13%,0.43%,0.23%,0.83%,0.28%,0.12%,0.65%,0.30%,0.15%,0.62%
32,Montana,0.36%,0.18%,0.73%,0.04%,0.01%,0.17%,0.47%,0.24%,0.91%,0.38%,0.17%,0.84%,0.39%,0.19%,0.79%
33,Nebraska,0.24%,0.12%,0.50%,0.03%,0.01%,0.12%,0.37%,0.19%,0.72%,0.25%,0.10%,0.59%,0.26%,0.13%,0.55%
34,Nevada,0.21%,0.09%,0.48%,0.01%,0.00%,0.10%,0.30%,0.14%,0.62%,0.22%,0.09%,0.57%,0.23%,0.10%,0.53%
