"Table 11. Methamphetamine Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,0.70%,0.64%,0.77%,0.17%,0.12%,0.23%,0.81%,0.70%,0.94%,0.75%,0.67%,0.83%,0.76%,0.69%,0.83%
2,Northeast,0.41%,0.31%,0.54%,0.16%,0.09%,0.26%,0.52%,0.38%,0.70%,0.42%,0.30%,0.58%,0.43%,0.32%,0.58%
3,Midwest,0.72%,0.60%,0.87%,0.23%,0.15%,0.35%,0.89%,0.71%,1.11%,0.75%,0.61%,0.93%,0.77%,0.64%,0.93%
4,South,0.63%,0.53%,0.75%,0.16%,0.10%,0.25%,0.75%,0.61%,0.93%,0.66%,0.55%,0.81%,0.68%,0.57%,0.81%
5,West,1.03%,0.86%,1.23%,0.14%,0.09%,0.24%,1.04%,0.81%,1.34%,1.13%,0.93%,1.38%,1.12%,0.93%,1.34%
6,Alabama,1.14%,0.68%,1.90%,0.22%,0.11%,0.43%,1.06%,0.65%,1.72%,1.26%,0.71%,2.23%,1.23%,0.73%,2.07%
7,Alaska,1.21%,0.75%,1.96%,0.16%,0.08%,0.30%,1.09%,0.61%,1.96%,1.37%,0.80%,2.32%,1.33%,0.82%,2.16%
8,Arizona,1.74%,1.09%,2.76%,0.17%,0.08%,0.38%,1.40%,0.82%,2.38%,1.98%,1.18%,3.30%,1.90%,1.19%,3.03%
9,Arkansas,0.91%,0.54%,1.53%,0.24%,0.13%,0.45%,1.10%,0.65%,1.84%,0.96%,0.54%,1.73%,0.98%,0.58%,1.66%
10,California,0.95%,0.72%,1.26%,0.10%,0.05%,0.21%,0.82%,0.54%,1.26%,1.07%,0.79%,1.46%,1.04%,0.78%,1.38%
11,Colorado,0.90%,0.51%,1.57%,0.17%,0.09%,0.31%,1.36%,0.82%,2.24%,0.91%,0.47%,1.76%,0.97%,0.55%,1.71%
12,Connecticut,0.36%,0.18%,0.74%,0.14%,0.07%,0.28%,0.43%,0.23%,0.80%,0.38%,0.16%,0.88%,0.39%,0.18%,0.81%
13,Delaware,0.63%,0.34%,1.16%,0.15%,0.07%,0.31%,0.71%,0.38%,1.33%,0.66%,0.33%,1.33%,0.67%,0.36%,1.26%
14,District of Columbia,0.39%,0.18%,0.84%,0.07%,0.02%,0.22%,0.34%,0.15%,0.75%,0.41%,0.17%,0.99%,0.40%,0.18%,0.89%
15,Florida,0.41%,0.25%,0.67%,0.12%,0.06%,0.24%,0.55%,0.34%,0.90%,0.42%,0.24%,0.74%,0.44%,0.27%,0.72%
16,Georgia,0.55%,0.33%,0.92%,0.14%,0.07%,0.28%,0.57%,0.35%,0.93%,0.60%,0.33%,1.08%,0.59%,0.35%,1.01%
17,Hawaii,1.30%,0.77%,2.19%,0.07%,0.02%,0.22%,0.93%,0.46%,1.84%,1.48%,0.84%,2.58%,1.42%,0.84%,2.39%
18,Idaho,0.81%,0.47%,1.39%,0.26%,0.14%,0.50%,1.27%,0.78%,2.06%,0.81%,0.42%,1.56%,0.88%,0.50%,1.52%
19,Illinois,0.38%,0.21%,0.69%,0.14%,0.07%,0.27%,0.30%,0.16%,0.55%,0.43%,0.22%,0.82%,0.41%,0.22%,0.75%
20,Indiana,0.93%,0.55%,1.55%,0.31%,0.15%,0.65%,1.43%,0.86%,2.39%,0.92%,0.49%,1.72%,0.99%,0.58%,1.68%
21,Iowa,1.11%,0.66%,1.87%,0.29%,0.15%,0.57%,1.07%,0.62%,1.82%,1.22%,0.67%,2.19%,1.20%,0.70%,2.03%
22,Kansas,1.28%,0.80%,2.05%,0.26%,0.14%,0.50%,1.32%,0.80%,2.16%,1.41%,0.82%,2.41%,1.39%,0.86%,2.24%
23,Kentucky,1.21%,0.77%,1.91%,0.31%,0.17%,0.55%,1.61%,1.03%,2.51%,1.26%,0.74%,2.12%,1.30%,0.82%,2.07%
24,Louisiana,0.79%,0.45%,1.37%,0.17%,0.08%,0.36%,0.61%,0.34%,1.08%,0.89%,0.48%,1.64%,0.85%,0.48%,1.50%
25,Maine,0.52%,0.28%,0.95%,0.28%,0.13%,0.61%,1.07%,0.61%,1.88%,0.47%,0.22%,1.00%,0.54%,0.29%,1.01%
26,Maryland,0.31%,0.15%,0.65%,0.11%,0.05%,0.24%,0.35%,0.18%,0.68%,0.33%,0.14%,0.75%,0.33%,0.16%,0.70%
27,Massachusetts,0.34%,0.16%,0.72%,0.15%,0.07%,0.32%,0.36%,0.18%,0.71%,0.36%,0.15%,0.85%,0.36%,0.17%,0.77%
28,Michigan,0.38%,0.23%,0.62%,0.18%,0.10%,0.35%,0.57%,0.34%,0.95%,0.37%,0.20%,0.67%,0.39%,0.23%,0.67%
29,Minnesota,0.78%,0.45%,1.35%,0.22%,0.12%,0.41%,0.83%,0.49%,1.40%,0.83%,0.44%,1.56%,0.83%,0.47%,1.47%
30,Mississippi,0.95%,0.54%,1.64%,0.19%,0.08%,0.43%,0.79%,0.46%,1.33%,1.07%,0.58%,1.96%,1.03%,0.59%,1.80%
31,Missouri,0.90%,0.55%,1.47%,0.27%,0.15%,0.49%,1.19%,0.74%,1.91%,0.93%,0.52%,1.64%,0.96%,0.58%,1.59%
32,Montana,1.43%,0.91%,2.23%,0.32%,0.16%,0.62%,2.03%,1.26%,3.24%,1.46%,0.86%,2.46%,1.53%,0.97%,2.41%
33,Nebraska,0.60%,0.34%,1.04%,0.22%,0.11%,0.44%,1.04%,0.60%,1.78%,0.57%,0.28%,1.16%,0.64%,0.36%,1.14%
34,Nevada,1.21%,0.73%,2.00%,0.14%,0.06%,0.29%,1.56%,0.91%,2.64%,1.29%,0.73%,2.27%,1.32%,0.80%,2.19%
35,New Hampshire,0.44%,0.24%,0.83%,0.26%,0.12%,0.55%,1.01%,0.56%,1.84%,0.38%,0.17%,0.85%,0.46%,0.24%,0.88%
36,New Jersey,0.37%,0.20%,0.69%,0.13%,0.06%,0.25%,0.38%,0.20%,0.75%,0.40%,0.19%,0.81%,0.40%,0.21%,0.75%
37,New Mexico,0.81%,0.45%,1.44%,0.10%,0.05%,0.23%,1.30%,0.72%,2.33%,0.82%,0.41%,1.62%,0.88%,0.49%,1.58%
38,New York,0.24%,0.13%,0.45%,0.12%,0.05%,0.25%,0.28%,0.14%,0.57%,0.24%,0.12%,0.50%,0.25%,0.13%,0.48%
39,North Carolina,0.56%,0.32%,0.97%,0.15%,0.08%,0.28%,0.61%,0.37%,1.01%,0.60%,0.32%,1.11%,0.60%,0.34%,1.05%
40,North Dakota,1.15%,0.71%,1.85%,0.32%,0.15%,0.67%,1.63%,1.00%,2.66%,1.15%,0.65%,2.02%,1.23%,0.75%,1.99%
