"Table 20. Illicit Drug Use Disorder in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Illicit Drug Use Disorder is defined as meeting criteria for illicit drug dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,2.99%,2.86%,3.12%,3.16%,2.92%,3.42%,7.54%,7.18%,7.93%,2.25%,2.11%,2.40%,2.97%,2.83%,3.11%
2,Northeast,2.98%,2.74%,3.25%,2.92%,2.58%,3.31%,8.00%,7.32%,8.73%,2.22%,1.96%,2.52%,2.99%,2.73%,3.27%
3,Midwest,2.99%,2.77%,3.22%,3.28%,2.94%,3.66%,7.61%,7.03%,8.23%,2.21%,1.98%,2.47%,2.96%,2.73%,3.20%
4,South,2.62%,2.45%,2.80%,2.85%,2.56%,3.17%,6.68%,6.19%,7.21%,1.96%,1.77%,2.16%,2.60%,2.42%,2.79%
5,West,3.58%,3.31%,3.87%,3.72%,3.26%,4.23%,8.52%,7.84%,9.24%,2.78%,2.48%,3.11%,3.57%,3.28%,3.88%
6,Alabama,3.05%,2.39%,3.88%,2.55%,1.88%,3.45%,7.71%,6.07%,9.76%,2.38%,1.71%,3.29%,3.10%,2.41%,3.98%
7,Alaska,3.72%,2.94%,4.69%,3.76%,2.78%,5.07%,8.77%,6.85%,11.15%,2.93%,2.13%,4.00%,3.71%,2.89%,4.75%
8,Arizona,3.16%,2.49%,4.00%,3.56%,2.67%,4.75%,7.92%,6.14%,10.16%,2.34%,1.68%,3.25%,3.12%,2.42%,4.01%
9,Arkansas,2.62%,2.02%,3.39%,2.90%,2.15%,3.90%,6.62%,5.11%,8.54%,1.94%,1.36%,2.76%,2.59%,1.96%,3.40%
10,California,3.63%,3.23%,4.09%,3.65%,3.00%,4.42%,8.53%,7.49%,9.69%,2.85%,2.40%,3.36%,3.63%,3.20%,4.12%
11,Colorado,5.00%,4.06%,6.16%,4.70%,3.46%,6.35%,11.68%,9.41%,14.42%,4.00%,3.00%,5.31%,5.03%,4.03%,6.27%
