"Table 23. Substance Use Disorder in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,,,,
NOTE: Substance Use Disorder is defined as meeting criteria for illicit drug or alcohol dependence or abuse. Dependence or abuse is based on definitions found in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV).,,,,,,,,,,,,,,,,
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,7.41%,7.20%,7.62%,4.08%,3.81%,4.38%,14.59%,14.12%,15.08%,6.66%,6.43%,6.90%,7.74%,7.52%,7.96%
2,Northeast,7.34%,6.93%,7.77%,3.78%,3.40%,4.20%,15.69%,14.66%,16.77%,6.43%,5.95%,6.94%,7.66%,7.22%,8.13%
3,Midwest,7.55%,7.19%,7.92%,4.25%,3.88%,4.67%,14.88%,14.05%,15.76%,6.76%,6.33%,7.22%,7.88%,7.49%,8.29%
4,South,6.60%,6.30%,6.91%,3.70%,3.36%,4.07%,12.99%,12.24%,13.79%,5.94%,5.59%,6.32%,6.89%,6.57%,7.23%
5,West,8.62%,8.17%,9.10%,4.76%,4.22%,5.36%,16.06%,15.04%,17.12%,7.90%,7.36%,8.47%,9.02%,8.53%,9.53%
6,Alabama,7.46%,6.27%,8.87%,3.19%,2.44%,4.17%,13.38%,11.10%,16.05%,7.03%,5.68%,8.67%,7.89%,6.59%,9.42%
7,Alaska,9.68%,8.34%,11.21%,4.63%,3.43%,6.23%,18.52%,15.64%,21.80%,8.94%,7.43%,10.72%,10.23%,8.77%,11.91%
8,Arizona,6.90%,5.80%,8.19%,4.83%,3.74%,6.23%,13.89%,11.53%,16.66%,6.01%,4.81%,7.48%,7.11%,5.93%,8.51%
9,Arkansas,6.83%,5.70%,8.16%,3.63%,2.82%,4.67%,12.01%,9.77%,14.68%,6.39%,5.14%,7.91%,7.16%,5.94%,8.61%
10,California,8.80%,8.10%,9.56%,4.55%,3.81%,5.42%,16.12%,14.55%,17.82%,8.12%,7.30%,9.02%,9.23%,8.47%,10.06%
11,Colorado,11.18%,9.68%,12.89%,5.44%,4.07%,7.23%,21.01%,18.00%,24.38%,10.31%,8.60%,12.31%,11.75%,10.12%,13.61%
12,Connecticut,8.01%,6.81%,9.41%,3.74%,2.91%,4.81%,18.72%,15.91%,21.88%,6.79%,5.47%,8.39%,8.43%,7.13%,9.93%
13,Delaware,8.41%,7.10%,9.95%,4.31%,3.40%,5.45%,17.01%,14.36%,20.03%,7.64%,6.19%,9.39%,8.79%,7.38%,10.45%
14,District of Columbia,11.94%,10.24%,13.87%,5.57%,4.28%,7.21%,17.51%,14.49%,21.02%,11.36%,9.47%,13.57%,12.30%,10.51%,14.33%
15,Florida,5.81%,5.18%,6.52%,3.86%,3.17%,4.68%,12.32%,10.87%,13.93%,5.14%,4.43%,5.97%,5.98%,5.30%,6.74%
16,Georgia,6.28%,5.39%,7.32%,3.45%,2.71%,4.37%,12.17%,10.25%,14.40%,5.68%,4.68%,6.89%,6.60%,5.62%,7.73%
17,Hawaii,8.06%,6.77%,9.57%,3.75%,2.85%,4.93%,16.58%,13.81%,19.77%,7.40%,5.96%,9.15%,8.45%,7.06%,10.08%
18,Idaho,7.33%,6.24%,8.60%,4.47%,3.48%,5.72%,13.81%,11.52%,16.47%,6.67%,5.45%,8.14%,7.67%,6.48%,9.06%
19,Illinois,7.67%,6.81%,8.63%,4.25%,3.33%,5.41%,14.76%,12.92%,16.80%,6.97%,5.98%,8.11%,8.02%,7.08%,9.07%
20,Indiana,8.02%,6.81%,9.41%,4.20%,3.34%,5.27%,14.83%,12.34%,17.72%,7.33%,5.99%,8.95%,8.42%,7.11%,9.95%
21,Iowa,7.78%,6.59%,9.16%,5.07%,4.02%,6.38%,15.13%,12.62%,18.04%,6.83%,5.51%,8.43%,8.05%,6.77%,9.55%
22,Kansas,6.96%,5.85%,8.26%,4.02%,3.14%,5.14%,14.15%,11.68%,17.04%,6.09%,4.87%,7.58%,7.29%,6.08%,8.71%
23,Kentucky,7.52%,6.39%,8.84%,4.10%,3.21%,5.24%,12.77%,10.55%,15.38%,7.09%,5.82%,8.62%,7.87%,6.64%,9.30%
24,Louisiana,7.61%,6.41%,9.01%,3.29%,2.54%,4.26%,12.48%,10.29%,15.05%,7.37%,5.99%,9.04%,8.06%,6.75%,9.60%
25,Maine,8.57%,7.24%,10.12%,4.67%,3.64%,5.98%,17.61%,14.89%,20.70%,7.79%,6.32%,9.56%,8.89%,7.47%,10.55%
26,Maryland,6.72%,5.61%,8.03%,3.70%,2.89%,4.71%,14.75%,12.18%,17.75%,5.87%,4.67%,7.35%,7.01%,5.81%,8.44%
27,Massachusetts,8.45%,7.25%,9.83%,4.10%,3.25%,5.17%,17.68%,14.87%,20.88%,7.34%,6.02%,8.92%,8.83%,7.54%,10.31%
28,Michigan,7.25%,6.46%,8.12%,3.98%,3.27%,4.83%,15.00%,13.28%,16.90%,6.36%,5.46%,7.41%,7.56%,6.71%,8.52%
29,Minnesota,7.34%,6.17%,8.72%,4.62%,3.61%,5.91%,15.28%,12.67%,18.30%,6.45%,5.16%,8.02%,7.62%,6.36%,9.11%
30,Mississippi,6.77%,5.65%,8.10%,3.32%,2.54%,4.33%,11.67%,9.55%,14.17%,6.39%,5.12%,7.95%,7.15%,5.92%,8.60%
31,Missouri,7.38%,6.28%,8.64%,4.04%,3.17%,5.15%,14.01%,11.75%,16.63%,6.73%,5.51%,8.18%,7.71%,6.53%,9.08%
32,Montana,9.67%,8.28%,11.27%,5.68%,4.48%,7.18%,16.69%,14.05%,19.72%,9.02%,7.46%,10.87%,10.04%,8.55%,11.76%
33,Nebraska,7.34%,6.19%,8.68%,3.94%,3.09%,5.00%,14.80%,12.39%,17.58%,6.48%,5.21%,8.03%,7.71%,6.46%,9.18%
34,Nevada,8.98%,7.63%,10.55%,5.59%,4.33%,7.18%,16.98%,14.20%,20.16%,8.26%,6.74%,10.08%,9.32%,7.86%,11.02%
35,New Hampshire,8.50%,7.17%,10.04%,4.57%,3.60%,5.80%,19.73%,16.43%,23.52%,7.22%,5.81%,8.95%,8.84%,7.41%,10.51%
36,New Jersey,6.40%,5.48%,7.46%,3.33%,2.62%,4.23%,14.66%,12.43%,17.21%,5.56%,4.56%,6.77%,6.71%,5.72%,7.85%
37,New Mexico,7.49%,6.29%,8.89%,5.43%,4.18%,7.02%,15.67%,12.98%,18.79%,6.44%,5.16%,8.02%,7.70%,6.42%,9.22%
38,New York,7.14%,6.41%,7.95%,3.87%,3.24%,4.60%,14.53%,12.85%,16.39%,6.34%,5.51%,7.28%,7.43%,6.65%,8.30%
39,North Carolina,6.95%,6.02%,8.01%,3.91%,3.12%,4.88%,13.68%,11.71%,15.92%,6.26%,5.21%,7.50%,7.26%,6.25%,8.41%
40,North Dakota,8.55%,7.32%,9.96%,5.08%,3.98%,6.47%,16.27%,13.57%,19.38%,7.46%,6.11%,9.07%,8.88%,7.56%,10.41%
41,Ohio,7.60%,6.80%,8.49%,4.23%,3.48%,5.12%,14.85%,13.13%,16.74%,6.87%,5.95%,7.92%,7.94%,7.07%,8.90%
42,Oklahoma,7.65%,6.49%,9.00%,4.36%,3.40%,5.57%,14.10%,11.74%,16.86%,6.99%,5.69%,8.57%,8.01%,6.75%,9.49%
43,Oregon,9.45%,8.12%,10.97%,5.77%,4.58%,7.26%,17.49%,14.73%,20.65%,8.67%,7.19%,10.42%,9.78%,8.35%,11.43%
44,Pennsylvania,6.99%,6.20%,7.87%,3.52%,2.88%,4.31%,15.08%,13.29%,17.07%,6.15%,5.26%,7.17%,7.31%,6.46%,8.26%
45,Rhode Island,8.60%,7.28%,10.13%,4.58%,3.56%,5.88%,18.06%,15.22%,21.31%,7.39%,5.96%,9.13%,8.95%,7.54%,10.60%
46,South Carolina,6.49%,5.41%,7.76%,3.95%,3.08%,5.05%,12.49%,10.25%,15.14%,5.88%,4.70%,7.34%,6.73%,5.58%,8.11%
