"Table 30. Major Depressive Episode in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,,,,
"NOTE: Major depressive episode (MDE) is defined as in the 5th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-5), which specifies a period of at least 2 weeks when an individual experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section B of the ""2018-2019 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/.",,,,,,,,,,,,,
"NOTE: There are minor wording differences in the questions in the adult and adolescent MDE modules. Therefore, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. ",,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,7.51%,7.29%,7.74%,15.08%,14.57%,15.60%,14.48%,13.98%,14.99%,6.43%,6.19%,6.67%
2,Northeast,7.22%,6.79%,7.68%,13.62%,12.74%,14.55%,14.43%,13.50%,15.42%,6.12%,5.66%,6.62%
3,Midwest,8.14%,7.76%,8.53%,15.74%,14.91%,16.61%,15.62%,14.79%,16.48%,6.94%,6.53%,7.37%
4,South,7.12%,6.80%,7.46%,14.59%,13.90%,15.31%,13.77%,13.09%,14.48%,6.10%,5.75%,6.46%
5,West,7.81%,7.39%,8.25%,16.26%,15.32%,17.25%,14.61%,13.69%,15.58%,6.73%,6.29%,7.21%
6,Alabama,8.13%,6.92%,9.53%,14.51%,12.25%,17.11%,13.33%,11.15%,15.87%,7.32%,6.03%,8.86%
7,Alaska,8.51%,7.30%,9.90%,17.93%,15.37%,20.82%,16.31%,13.68%,19.33%,7.30%,6.03%,8.81%
8,Arizona,7.81%,6.65%,9.16%,17.41%,14.79%,20.39%,15.58%,12.98%,18.58%,6.56%,5.35%,8.02%
9,Arkansas,7.90%,6.78%,9.19%,16.27%,13.91%,18.93%,14.33%,11.93%,17.13%,6.87%,5.70%,8.26%
10,California,7.17%,6.55%,7.85%,15.22%,13.77%,16.79%,13.11%,11.77%,14.59%,6.22%,5.54%,6.97%
11,Colorado,8.46%,7.29%,9.80%,15.02%,12.63%,17.78%,17.25%,14.64%,20.20%,7.10%,5.86%,8.58%
12,Connecticut,7.06%,5.97%,8.34%,14.41%,12.04%,17.17%,15.26%,12.81%,18.08%,5.77%,4.62%,7.17%
13,Delaware,8.50%,7.20%,10.01%,15.48%,13.16%,18.13%,15.09%,12.70%,17.82%,7.58%,6.21%,9.23%
14,District of Columbia,8.29%,7.11%,9.65%,11.36%,9.50%,13.53%,13.57%,11.11%,16.47%,7.35%,6.08%,8.84%
15,Florida,6.50%,5.80%,7.28%,13.25%,11.77%,14.88%,13.83%,12.35%,15.46%,5.54%,4.81%,6.38%
16,Georgia,6.91%,6.01%,7.93%,13.75%,11.83%,15.93%,13.63%,11.68%,15.85%,5.81%,4.87%,6.93%
17,Hawaii,5.83%,4.88%,6.96%,14.16%,11.90%,16.77%,12.86%,10.70%,15.38%,4.93%,3.95%,6.14%
18,Idaho,8.25%,7.07%,9.61%,17.44%,14.92%,20.28%,16.71%,14.13%,19.66%,6.87%,5.64%,8.35%
19,Illinois,7.12%,6.32%,8.01%,15.15%,13.36%,17.15%,14.89%,13.12%,16.86%,5.91%,5.06%,6.88%
20,Indiana,8.28%,7.15%,9.56%,16.61%,14.25%,19.27%,14.85%,12.53%,17.53%,7.16%,5.97%,8.56%
21,Iowa,7.82%,6.70%,9.12%,16.69%,14.22%,19.48%,14.11%,11.71%,16.90%,6.74%,5.56%,8.14%
22,Kansas,7.89%,6.75%,9.20%,16.53%,14.09%,19.31%,14.55%,12.16%,17.32%,6.73%,5.52%,8.17%
23,Kentucky,8.49%,7.26%,9.90%,15.15%,12.83%,17.80%,14.15%,11.79%,16.89%,7.60%,6.31%,9.14%
24,Louisiana,7.81%,6.68%,9.12%,14.14%,12.05%,16.53%,14.16%,11.91%,16.75%,6.82%,5.62%,8.27%
25,Maine,8.19%,6.96%,9.62%,15.60%,13.24%,18.29%,16.30%,13.73%,19.24%,7.18%,5.90%,8.71%
26,Maryland,6.81%,5.79%,8.00%,14.93%,12.63%,17.56%,14.72%,12.28%,17.55%,5.66%,4.59%,6.94%
27,Massachusetts,8.08%,6.93%,9.40%,15.61%,13.30%,18.23%,15.53%,12.99%,18.47%,6.83%,5.64%,8.26%
28,Michigan,8.23%,7.36%,9.19%,16.55%,14.73%,18.55%,15.33%,13.59%,17.23%,7.09%,6.16%,8.14%
29,Minnesota,7.98%,6.90%,9.21%,15.94%,13.49%,18.74%,16.80%,14.11%,19.88%,6.63%,5.52%,7.94%
30,Mississippi,7.28%,6.19%,8.55%,12.64%,10.54%,15.09%,11.17%,9.24%,13.45%,6.64%,5.45%,8.07%
31,Missouri,8.76%,7.57%,10.12%,15.54%,13.21%,18.18%,15.50%,13.15%,18.19%,7.71%,6.44%,9.22%
32,Montana,7.93%,6.79%,9.25%,15.11%,12.91%,17.61%,14.57%,12.25%,17.26%,6.91%,5.71%,8.36%
33,Nebraska,7.59%,6.53%,8.81%,15.50%,13.11%,18.23%,15.64%,13.23%,18.41%,6.20%,5.08%,7.54%
34,Nevada,8.22%,6.97%,9.66%,17.93%,15.22%,21.00%,15.84%,13.25%,18.82%,7.17%,5.87%,8.71%
35,New Hampshire,8.27%,7.07%,9.65%,15.85%,13.54%,18.47%,16.71%,13.98%,19.86%,7.02%,5.77%,8.51%
36,New Jersey,6.19%,5.29%,7.23%,12.71%,10.84%,14.85%,13.48%,11.39%,15.89%,5.14%,4.22%,6.26%
37,New Mexico,8.06%,6.86%,9.45%,18.60%,15.92%,21.62%,15.28%,12.80%,18.16%,6.92%,5.68%,8.42%
38,New York,6.82%,6.11%,7.62%,13.29%,11.86%,14.86%,13.30%,11.75%,15.04%,5.83%,5.07%,6.70%
39,North Carolina,7.60%,6.63%,8.69%,16.68%,14.41%,19.24%,13.71%,11.74%,15.94%,6.65%,5.62%,7.86%
40,North Dakota,8.52%,7.36%,9.84%,15.07%,12.81%,17.65%,15.29%,12.88%,18.05%,7.21%,6.00%,8.65%
41,Ohio,8.84%,7.95%,9.81%,14.73%,12.97%,16.67%,17.02%,15.17%,19.05%,7.57%,6.62%,8.65%
42,Oklahoma,8.52%,7.27%,9.96%,17.01%,14.34%,20.06%,16.30%,13.80%,19.16%,7.22%,5.91%,8.79%
43,Oregon,9.50%,8.13%,11.07%,18.62%,15.98%,21.57%,17.24%,14.53%,20.34%,8.39%,6.96%,10.09%
44,Pennsylvania,7.69%,6.84%,8.63%,12.88%,11.30%,14.65%,15.23%,13.38%,17.29%,6.57%,5.68%,7.58%
45,Rhode Island,8.72%,7.44%,10.20%,14.64%,12.37%,17.25%,16.13%,13.51%,19.16%,7.45%,6.11%,9.06%
46,South Carolina,7.27%,6.20%,8.52%,13.82%,11.67%,16.29%,12.89%,10.70%,15.44%,6.44%,5.32%,7.78%
47,South Dakota,7.37%,6.31%,8.60%,15.41%,13.09%,18.06%,15.06%,12.57%,17.93%,6.11%,5.01%,7.42%
48,Tennessee,7.76%,6.64%,9.06%,13.72%,11.55%,16.23%,15.33%,12.84%,18.20%,6.61%,5.45%,7.99%
49,Texas,6.42%,5.79%,7.11%,14.60%,13.03%,16.32%,13.06%,11.49%,14.81%,5.27%,4.60%,6.02%
50,Utah,9.82%,8.59%,11.20%,17.77%,15.22%,20.65%,15.58%,13.07%,18.47%,8.55%,7.23%,10.08%
51,Vermont,8.75%,7.52%,10.16%,16.36%,14.01%,19.02%,16.30%,13.76%,19.20%,7.46%,6.17%,8.99%
52,Virginia,6.98%,6.06%,8.02%,15.57%,13.55%,17.82%,13.56%,11.58%,15.82%,5.96%,4.99%,7.09%
53,Washington,8.81%,7.61%,10.18%,18.22%,15.53%,21.26%,16.76%,14.16%,19.73%,7.66%,6.38%,9.16%
54,West Virginia,9.35%,7.97%,10.95%,16.62%,14.13%,19.46%,17.27%,14.60%,20.31%,8.25%,6.77%,10.01%
55,Wisconsin,8.63%,7.40%,10.04%,15.99%,13.58%,18.73%,16.38%,13.88%,19.24%,7.40%,6.11%,8.94%
