"Table 33. Attempted Suicide in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2018 and 2019 NSDUHs  ",,,,,,,,,,
NOTE: Respondents were asked whether they attempted suicide in the past 12 months only if they had serious thoughts of suicide in the past 12 months. Respondents who had no suicide thoughts were categorized as not attempting suicide in the past 12 months.,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2018 and 2019.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,0.57%,0.52%,0.63%,1.87%,1.69%,2.06%,0.37%,0.31%,0.43%
2,Northeast,0.57%,0.46%,0.71%,1.74%,1.46%,2.08%,0.40%,0.29%,0.54%
3,Midwest,0.61%,0.51%,0.73%,1.85%,1.61%,2.13%,0.41%,0.32%,0.54%
4,South,0.56%,0.47%,0.66%,1.91%,1.68%,2.17%,0.35%,0.27%,0.46%
5,West,0.54%,0.45%,0.66%,1.91%,1.63%,2.24%,0.33%,0.24%,0.45%
6,Alabama,0.54%,0.39%,0.74%,2.28%,1.60%,3.22%,0.27%,0.15%,0.46%
7,Alaska,0.47%,0.34%,0.64%,2.38%,1.67%,3.39%,0.17%,0.09%,0.31%
8,Arizona,0.71%,0.51%,0.98%,2.44%,1.72%,3.46%,0.43%,0.25%,0.71%
9,Arkansas,0.73%,0.52%,1.02%,2.06%,1.43%,2.95%,0.51%,0.31%,0.86%
10,California,0.49%,0.37%,0.64%,1.52%,1.14%,2.01%,0.32%,0.21%,0.49%
11,Colorado,0.57%,0.41%,0.78%,2.12%,1.49%,3.01%,0.33%,0.19%,0.55%
12,Connecticut,0.39%,0.27%,0.56%,1.54%,1.03%,2.28%,0.21%,0.11%,0.38%
13,Delaware,0.56%,0.41%,0.78%,2.29%,1.59%,3.28%,0.32%,0.19%,0.55%
14,District of Columbia,0.51%,0.32%,0.81%,1.28%,0.80%,2.02%,0.38%,0.20%,0.72%
