Order,State,"Alcohol Use in Past Month (Estimate)","Alcohol Use in Past Month 95% CI (Lower)","Alcohol Use in Past Month 95% CI (Upper)","Binge Alcohol Use in Past Month (Estimate)","Binge Alcohol Use in Past Month 95% CI (Lower)","Binge Alcohol Use in Past Month 95% CI (Upper)"
1,Total U.S.,18.67%,18.02%,19.33%,11.24%,10.73%,11.77%
2,Northeast,20.33%,19.40%,21.29%,12.83%,12.02%,13.67%
3,Midwest,20.87%,20.08%,21.69%,12.99%,12.31%,13.71%
4,South,17.35%,16.72%,18.01%,10.07%,9.50%,10.68%
5,West,17.69%,16.84%,18.56%,10.47%,9.74%,11.26%
6,Alabama,15.53%,13.30%,18.06%,9.77%,8.07%,11.77%
7,Alaska,16.54%,14.11%,19.29%,10.38%,8.59%,12.48%
8,Arizona,16.53%,14.17%,19.18%,9.61%,7.82%,11.75%
9,Arkansas,17.15%,14.79%,19.79%,10.22%,8.49%,12.25%
10,California,17.64%,16.30%,19.06%,10.38%,9.28%,11.60%
11,Colorado,22.22%,19.70%,24.97%,13.41%,11.43%,15.68%
12,Connecticut,27.31%,24.62%,30.18%,18.50%,16.00%,21.29%
13,Delaware,20.59%,18.05%,23.39%,11.03%,9.10%,13.30%
14,District of Columbia,21.98%,18.77%,25.57%,13.36%,10.91%,16.26%
15,Florida,18.69%,17.21%,20.27%,10.28%,9.11%,11.58%
16,Georgia,14.39%,12.55%,16.44%,8.28%,6.91%,9.89%
17,Hawaii,13.54%,11.40%,16.00%,9.17%,7.48%,11.20%
18,Idaho,15.18%,12.92%,17.76%,9.82%,8.14%,11.81%
19,Illinois,17.90%,16.21%,19.72%,10.93%,9.55%,12.48%
20,Indiana,16.78%,14.42%,19.45%,10.55%,8.80%,12.61%
21,Iowa,24.82%,21.98%,27.89%,15.37%,13.02%,18.04%
22,Kansas,22.03%,19.33%,24.98%,14.29%,12.09%,16.81%
23,Kentucky,18.14%,15.69%,20.89%,11.79%,9.92%,13.95%
24,Louisiana,19.89%,17.39%,22.64%,10.86%,9.02%,13.03%
25,Maine,22.44%,19.77%,25.35%,14.54%,12.40%,16.98%
26,Maryland,16.43%,14.14%,19.00%,9.19%,7.57%,11.11%
27,Massachusetts,24.11%,21.21%,27.27%,14.85%,12.60%,17.42%
28,Michigan,21.95%,20.11%,23.91%,13.03%,11.50%,14.73%
29,Minnesota,23.63%,20.91%,26.59%,13.96%,11.84%,16.38%
30,Mississippi,16.00%,13.86%,18.39%,9.47%,7.91%,11.29%
31,Missouri,20.46%,17.90%,23.28%,13.33%,11.29%,15.66%
32,Montana,23.97%,21.31%,26.85%,14.50%,12.45%,16.83%
33,Nebraska,22.61%,20.04%,25.41%,14.49%,12.36%,16.92%
34,Nevada,17.59%,15.21%,20.24%,9.52%,7.83%,11.52%
35,New Hampshire,23.15%,20.22%,26.37%,14.75%,12.51%,17.32%
36,New Jersey,19.85%,17.67%,22.21%,12.63%,10.83%,14.69%
37,New Mexico,16.17%,13.78%,18.89%,9.48%,7.73%,11.58%
38,New York,18.74%,17.12%,20.48%,11.64%,10.30%,13.12%
39,North Carolina,17.71%,15.73%,19.88%,11.20%,9.63%,12.99%
40,North Dakota,25.79%,22.87%,28.94%,18.51%,15.98%,21.33%
41,Ohio,21.23%,19.51%,23.07%,13.53%,12.09%,15.12%
42,Oklahoma,17.80%,15.44%,20.43%,10.64%,8.86%,12.73%
43,Oregon,20.76%,18.08%,23.73%,12.54%,10.56%,14.84%
44,Pennsylvania,17.04%,15.27%,18.97%,10.71%,9.26%,12.35%
45,Rhode Island,27.14%,23.99%,30.55%,16.26%,13.79%,19.07%
46,South Carolina,16.84%,14.35%,19.67%,10.79%,8.95%,12.96%
47,South Dakota,20.70%,18.22%,23.43%,13.87%,11.84%,16.19%
48,Tennessee,17.11%,14.74%,19.78%,10.50%,8.68%,12.66%
49,Texas,17.17%,15.69%,18.77%,9.43%,8.37%,10.61%
50,Utah,9.94%,7.79%,12.62%,7.42%,5.70%,9.61%
51,Vermont,31.66%,28.24%,35.30%,21.21%,18.18%,24.59%
52,Virginia,18.44%,16.34%,20.74%,11.05%,9.39%,12.97%
53,Washington,18.97%,16.51%,21.70%,10.48%,8.70%,12.59%
54,West Virginia,18.61%,16.04%,21.47%,11.70%,9.72%,14.01%
55,Wisconsin,23.20%,20.61%,26.01%,14.40%,12.25%,16.87%
56,Wyoming,20.36%,17.68%,23.32%,12.10%,10.14%,14.37%
