Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,4.58%,4.41%,4.75%,11.39%,10.98%,11.81%,3.51%,3.34%,3.69%
2,Northeast,4.44%,4.12%,4.78%,11.34%,10.52%,12.22%,3.39%,3.07%,3.74%
3,Midwest,4.95%,4.66%,5.25%,12.62%,11.88%,13.39%,3.72%,3.43%,4.03%
4,South,4.24%,4.01%,4.49%,10.63%,10.03%,11.25%,3.25%,3.01%,3.51%
5,West,4.89%,4.56%,5.24%,11.52%,10.74%,12.36%,3.84%,3.51%,4.20%
6,Alabama,4.83%,3.97%,5.88%,12.25%,10.10%,14.80%,3.67%,2.84%,4.74%
7,Alaska,6.11%,5.11%,7.28%,14.95%,12.36%,17.97%,4.73%,3.75%,5.95%
8,Arizona,5.01%,4.14%,6.06%,12.11%,9.90%,14.72%,3.87%,3.03%,4.94%
9,Arkansas,4.71%,3.89%,5.69%,12.07%,9.81%,14.76%,3.54%,2.75%,4.53%
10,California,4.55%,4.07%,5.08%,10.30%,9.14%,11.60%,3.62%,3.13%,4.19%
11,Colorado,5.54%,4.60%,6.65%,14.16%,11.74%,16.99%,4.20%,3.29%,5.35%
12,Connecticut,4.46%,3.63%,5.48%,12.36%,10.11%,15.03%,3.21%,2.42%,4.24%
13,Delaware,5.18%,4.21%,6.37%,12.01%,9.81%,14.62%,4.23%,3.25%,5.49%
14,District of Columbia,4.43%,3.55%,5.53%,9.22%,7.19%,11.73%,3.58%,2.73%,4.68%
15,Florida,4.04%,3.52%,4.64%,10.81%,9.50%,12.27%,3.16%,2.63%,3.79%
16,Georgia,3.85%,3.21%,4.62%,10.09%,8.36%,12.11%,2.83%,2.22%,3.61%
17,Hawaii,4.74%,3.85%,5.82%,11.89%,9.71%,14.47%,3.82%,2.94%,4.95%
18,Idaho,5.30%,4.37%,6.41%,14.05%,11.71%,16.77%,3.87%,2.97%,5.01%
19,Illinois,4.00%,3.42%,4.67%,11.29%,9.67%,13.13%,2.87%,2.31%,3.55%
20,Indiana,5.62%,4.64%,6.78%,13.34%,10.98%,16.11%,4.30%,3.36%,5.51%
21,Iowa,4.94%,4.06%,6.00%,12.36%,10.16%,14.96%,3.66%,2.81%,4.76%
22,Kansas,4.96%,4.09%,6.01%,12.31%,10.07%,14.96%,3.68%,2.85%,4.73%
23,Kentucky,4.68%,3.86%,5.67%,11.10%,9.03%,13.57%,3.67%,2.88%,4.68%
24,Louisiana,4.72%,3.87%,5.73%,12.25%,10.06%,14.83%,3.54%,2.75%,4.56%
25,Maine,5.44%,4.47%,6.62%,14.00%,11.64%,16.74%,4.37%,3.41%,5.58%
