Order,State,12 or Older Estimate,12 or Older 95% CI (Lower),12 or Older 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26 or Older Estimate,26 or Older 95% CI (Lower),26 or Older 95% CI (Upper),18 or Older Estimate,18 or Older 95% CI (Lower),18 or Older 95% CI (Upper)
1,Total U.S.,3.31%,3.17%,3.46%,2.37%,2.16%,2.60%,6.07%,5.73%,6.43%,2.99%,2.82%,3.16%,3.41%,3.25%,3.57%
2,Northeast,3.14%,2.87%,3.43%,2.12%,1.83%,2.44%,6.26%,5.62%,6.96%,2.77%,2.46%,3.11%,3.23%,2.94%,3.55%
3,Midwest,3.31%,3.08%,3.56%,2.36%,2.08%,2.68%,6.17%,5.66%,6.73%,2.96%,2.69%,3.26%,3.41%,3.16%,3.68%
4,South,3.06%,2.86%,3.27%,2.37%,2.11%,2.66%,5.52%,5.08%,5.99%,2.75%,2.52%,3.01%,3.13%,2.91%,3.36%
5,West,3.85%,3.54%,4.18%,2.56%,2.21%,2.97%,6.70%,6.06%,7.41%,3.55%,3.18%,3.95%,3.98%,3.65%,4.34%
6,Alabama,3.35%,2.64%,4.23%,2.37%,1.73%,3.23%,5.60%,4.21%,7.42%,3.11%,2.31%,4.17%,3.44%,2.68%,4.41%
7,Alaska,3.42%,2.71%,4.30%,2.47%,1.77%,3.44%,5.59%,4.17%,7.46%,3.20%,2.39%,4.26%,3.52%,2.75%,4.49%
8,Arizona,3.43%,2.66%,4.42%,2.47%,1.76%,3.45%,5.02%,3.71%,6.77%,3.29%,2.41%,4.48%,3.53%,2.70%,4.61%
9,Arkansas,2.91%,2.25%,3.76%,2.25%,1.63%,3.09%,4.94%,3.63%,6.69%,2.67%,1.92%,3.69%,2.98%,2.27%,3.91%
10,California,4.02%,3.55%,4.54%,2.54%,2.03%,3.17%,7.01%,5.97%,8.21%,3.71%,3.16%,4.35%,4.16%,3.66%,4.73%
11,Colorado,4.70%,3.79%,5.81%,3.00%,2.11%,4.25%,8.56%,6.75%,10.80%,4.30%,3.27%,5.63%,4.87%,3.90%,6.08%
12,Connecticut,3.55%,2.77%,4.54%,2.24%,1.64%,3.07%,7.05%,5.38%,9.19%,3.14%,2.28%,4.31%,3.68%,2.84%,4.75%
13,Delaware,4.00%,3.13%,5.09%,2.44%,1.74%,3.42%,6.67%,5.03%,8.78%,3.79%,2.82%,5.07%,4.14%,3.21%,5.33%
14,District of Columbia,5.29%,4.15%,6.72%,1.80%,1.20%,2.67%,7.71%,5.72%,10.32%,5.08%,3.81%,6.75%,5.48%,4.29%,6.99%
15,Florida,3.06%,2.60%,3.59%,2.75%,2.17%,3.48%,5.52%,4.62%,6.58%,2.76%,2.24%,3.39%,3.08%,2.59%,3.65%
16,Georgia,2.79%,2.22%,3.52%,1.91%,1.41%,2.57%,4.34%,3.29%,5.72%,2.66%,1.98%,3.55%,2.89%,2.26%,3.69%
17,Hawaii,3.41%,2.67%,4.35%,2.09%,1.44%,3.04%,7.03%,5.29%,9.29%,3.08%,2.26%,4.17%,3.53%,2.74%,4.55%
18,Idaho,2.65%,2.06%,3.40%,2.24%,1.60%,3.11%,5.20%,3.87%,6.96%,2.28%,1.64%,3.18%,2.70%,2.05%,3.53%
19,Illinois,3.20%,2.69%,3.80%,2.16%,1.68%,2.77%,5.61%,4.55%,6.91%,2.94%,2.36%,3.66%,3.30%,2.75%,3.96%
20,Indiana,3.27%,2.60%,4.10%,2.86%,2.10%,3.90%,6.69%,5.04%,8.85%,2.73%,2.01%,3.70%,3.31%,2.59%,4.22%
