Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,2.00%,1.90%,2.11%,0.42%,0.33%,0.53%,5.54%,5.19%,5.92%,1.63%,1.52%,1.75%,2.16%,2.05%,2.28%
2,Northeast,2.21%,2.00%,2.44%,0.38%,0.28%,0.51%,6.35%,5.70%,7.08%,1.77%,1.55%,2.02%,2.38%,2.15%,2.62%
3,Midwest,1.81%,1.65%,1.98%,0.43%,0.32%,0.57%,5.07%,4.54%,5.65%,1.45%,1.28%,1.64%,1.95%,1.78%,2.14%
4,South,1.65%,1.53%,1.79%,0.36%,0.26%,0.48%,4.39%,3.98%,4.85%,1.38%,1.24%,1.53%,1.78%,1.64%,1.93%
5,West,2.58%,2.37%,2.81%,0.54%,0.38%,0.76%,7.18%,6.47%,7.96%,2.09%,1.86%,2.35%,2.79%,2.55%,3.04%
6,Alabama,1.78%,1.29%,2.47%,0.31%,0.18%,0.54%,4.13%,2.93%,5.81%,1.58%,1.07%,2.34%,1.93%,1.39%,2.68%
7,Alaska,2.05%,1.52%,2.77%,0.47%,0.27%,0.80%,5.09%,3.61%,7.12%,1.78%,1.22%,2.58%,2.23%,1.64%,3.02%
8,Arizona,1.82%,1.33%,2.47%,0.48%,0.29%,0.80%,5.31%,3.80%,7.37%,1.41%,0.95%,2.10%,1.95%,1.43%,2.67%
9,Arkansas,1.11%,0.76%,1.62%,0.36%,0.20%,0.65%,3.05%,2.01%,4.62%,0.89%,0.55%,1.44%,1.19%,0.81%,1.75%
10,California,2.75%,2.41%,3.12%,0.52%,0.33%,0.82%,7.71%,6.60%,8.97%,2.21%,1.85%,2.63%,2.97%,2.60%,3.38%
11,Colorado,4.12%,3.29%,5.13%,0.64%,0.35%,1.18%,10.98%,8.58%,13.95%,3.45%,2.57%,4.60%,4.46%,3.56%,5.58%
12,Connecticut,1.99%,1.48%,2.68%,0.37%,0.23%,0.61%,6.21%,4.50%,8.52%,1.50%,1.01%,2.21%,2.15%,1.59%,2.90%
13,Delaware,2.21%,1.65%,2.97%,0.31%,0.17%,0.55%,6.63%,4.86%,8.99%,1.79%,1.23%,2.61%,2.39%,1.77%,3.21%
14,District of Columbia,3.95%,2.98%,5.23%,0.21%,0.10%,0.48%,6.45%,4.63%,8.93%,3.75%,2.70%,5.19%,4.16%,3.14%,5.51%
15,Florida,1.72%,1.42%,2.08%,0.36%,0.24%,0.54%,5.07%,4.14%,6.21%,1.41%,1.10%,1.82%,1.84%,1.52%,2.23%
16,Georgia,1.43%,1.08%,1.91%,0.25%,0.15%,0.43%,3.41%,2.46%,4.71%,1.26%,0.89%,1.79%,1.56%,1.17%,2.09%
17,Hawaii,2.41%,1.80%,3.23%,0.43%,0.21%,0.88%,6.12%,4.46%,8.33%,2.13%,1.49%,3.05%,2.59%,1.93%,3.48%
18,Idaho,1.36%,0.97%,1.91%,0.57%,0.32%,1.02%,4.01%,2.78%,5.77%,1.04%,0.66%,1.62%,1.46%,1.03%,2.07%
19,Illinois,2.10%,1.70%,2.59%,0.40%,0.26%,0.62%,4.77%,3.70%,6.13%,1.88%,1.45%,2.45%,2.27%,1.83%,2.81%
